pmid,doi,title,journal,year,query_type,source,is_research,screening_reasoning
10567424,10.1074/jbc.274.48.34438,Interdomain interaction of merlin isoforms and its influence on intermolecular binding to NHE-RF.,J Biol Chem,1999,reconstructed,pubmed,True,Protein interaction analysis
10620616,10.1084/jem.191.1.181,Genetic and biochemical evidence that haploinsufficiency of the Nf1 tumor suppressor gene modulates melanocyte and mast cell fates in vivo.,J Exp Med,2000,reconstructed,pubmed,True,Genetic and biochemical animal model
10627474,,Inhibition of juvenile myelomonocytic leukemia cell growth in vitro by farnesyltransferase inhibitors.,Blood,2000,reconstructed,pubmed,True,In vitro cell growth inhibition
12393498,10.1182/blood-2002-08-2635,Leukemic potential of doubly mutant Nf1 and Wv hematopoietic cells.,Blood,2003,reconstructed,pubmed,True,Genetic interaction model
12469121,10.1038/ng1059,Nf1 has an essential role in endothelial cells.,Nat Genet,2003,reconstructed,pubmed,True,Endothelial cell genetic model
12471027,10.1074/jbc.M210639200,Isolation and characterization of an aggresome determinant in the NF2 tumor suppressor.,J Biol Chem,2003,reconstructed,pubmed,True,Protein characterization
12600938,10.1101/gad.1054703,Dynamic regulation of the Ras pathway via proteolysis of the NF1 tumor suppressor.,Genes Dev,2003,reconstructed,pubmed,True,Protein regulation mechanism
12612091,10.1128/MCB.23.6.2213-2224.2003,Brain lipid binding protein in axon-Schwann cell interactions and peripheral nerve tumorigenesis.,Mol Cell Biol,2003,reconstructed,pubmed,True,Schwann cell interaction study
12673723,10.1002/cncr.11275,Quinidine impairs proliferation of neurofibromatosis type 2-deficient human malignant mesothelioma cells.,Cancer,2003,reconstructed,pubmed,True,Drug proliferation screening
12679023,10.1016/s0969-2126(03)00052-2,PDZ tandem of human syntenin: crystal structure and functional properties.,Structure,2003,reconstructed,pubmed,True,Protein structural analysis
12695331,10.1101/gad.1054603,NF2 deficiency promotes tumorigenesis and metastasis by destabilizing adherens junctions.,Genes Dev,2003,reconstructed,pubmed,True,Cellular junction destabilization model
12730209,10.1074/jbc.M209413200,Neurofibromatosis type I tumor suppressor neurofibromin regulates neuronal differentiation via its GTPase-activating protein function toward Ras.,J Biol Chem,2003,reconstructed,pubmed,True,Neuronal differentiation mechanism
12896975,10.1074/jbc.M306149200,Merlin links to the cAMP neuronal signaling pathway by anchoring the RIbeta subunit of protein kinase A.,J Biol Chem,2003,reconstructed,pubmed,True,Protein signaling interaction
12904481,10.1523/JNEUROSCI.23-18-07207.2003,Aberrant growth and differentiation of oligodendrocyte progenitors in neurofibromatosis type 1 mutants.,J Neurosci,2003,reconstructed,pubmed,True,Oligodendrocyte progenitor model
12946024,10.1111/j.1750-3639.2003.tb00034.x,Pathological adhesion of primary human schwannoma cells is dependent on altered expression of integrins.,Brain Pathol,2003,reconstructed,pubmed,True,Cell adhesion characterization
1358802,10.1016/s0888-7543(05)80228-9,The gene for a novel epidermal antigen maps near the neurofibromatosis 1 gene.,Genomics,1992,reconstructed,pubmed,True,Genetic mapping reagent
1362901,10.1091/mbc.3.12.1437,The role of Gln61 and Glu63 of Ras GTPases in their activation by NF1 and Ras GAP.,Mol Biol Cell,1992,reconstructed,pubmed,True,Molecular interaction analysis
1376554,,Immunolocalization of a glycosylphosphatidylinositol-specific phospholipase D in mast cells found in normal tissue and neurofibromatosis lesions.,Am J Pathol,1992,reconstructed,pubmed,True,Immunolocalization technique
1376775,10.1523/JNEUROSCI.12-06-02177.1992,SAG: a Schwann cell membrane glycoprotein.,J Neurosci,1992,reconstructed,pubmed,True,Membrane protein characterization
1427886,10.1016/s0888-7543(05)80154-5,A radiation hybrid map of the region on human chromosome 22 containing the neurofibromatosis type 2 locus.,Genomics,1992,reconstructed,pubmed,True,Radiation hybrid mapping
14523097,10.1523/JNEUROSCI.23-26-08949.2003,The neurofibromatosis 1 gene product neurofibromin regulates pituitary adenylate cyclase-activating polypeptide-mediated signaling in astrocytes.,J Neurosci,2003,reconstructed,pubmed,True,Molecular signaling mechanism
14580336,10.1016/s1097-2765(03)00382-4,"Merlin, the product of the Nf2 tumor suppressor gene, is an inhibitor of the p21-activated kinase, Pak1.",Mol Cell,2003,reconstructed,pubmed,True,Protein interaction study
14627667,10.1136/jmg.40.11.802,Identification of recurrent regions of chromosome loss and gain in vestibular schwannomas using comparative genomic hybridisation.,J Med Genet,2003,reconstructed,pubmed,True,Comparative genomic hybridization
14679174,10.1172/JCI20503,It takes two to tango: mast cell and Schwann cell interactions in neurofibromas.,J Clin Invest,2003,reconstructed,pubmed,True,Cell interaction model
