animalModelId,strainNomenclature,backgroundStrain,backgroundSubstrain,donorId,transplantationDonorId,animalModelOfManifestation,animalModelGeneticDisorder,transplantationType,animalState,generation,_pmid,_doi,_publicationTitle,_foundIn,_confidence,_contextSnippet,_whyMissed,_reasoning,_source,_completenessScore,_criticalFieldsScore,_missingCriticalFields,_hasMinimumFields
03c3c62a-d581-4475-88e8-468f65e948bf,Nf1flox/mut;PostnCre+,,,,,,,,,,31527226,,"Ketotifen Modulates Mast Cell Chemotaxis to Kit-Ligand, but Does Not Impact Mast Cell Numbers, Degranulation, or Tumor Behavior in Neurofibromas of Nf1-Deficient Mice.",methods,0.95,,,"This is a legitimate genetically engineered mouse model used for NF1 research. The nomenclature
follows standard mouse strain naming conventions with specific allele designations (flox/mut)
and Cre recombinase expression (PostnCre+). The context clearly indicates experimental usage
(""we employed...mice that develop plexiform neurofibromas"") rather than just gene reference.
The Methods section provides detailed experimental protocols using this model, confirming
it's a genuine research tool being used experimentally.
",AI validation - Sonnet 4.5,0,0,,True
bfa983fc-f28f-46d0-9af0-8ccc0c376ecb,Nf1 null mice,,,,,,,,,,PMID:10591653,,Mouse tumor model for neurofibromatosis type 1.,abstract,0.9,One hundred percent of mice harboring null Nf1 and p53 alleles in cis synergize to develop soft tissue sarcomas between 3 and 7 months of age.,The mining patterns may not have captured 'null Nf1' as an animal model reference. This clearly describes genetically modified mice with Nf1 knockout alleles.,,AI validation - Sonnet 4.5,0,0,,True
ca4fe646-2259-43dd-8fa9-e1dc16f117d5,p53 null mice,,,,,,,,,,PMID:10591653,,Mouse tumor model for neurofibromatosis type 1.,abstract,0.9,One hundred percent of mice harboring null Nf1 and p53 alleles in cis synergize to develop soft tissue sarcomas between 3 and 7 months of age.,"Similar to Nf1, the p53 null allele represents a genetically modified mouse model that wasn't captured by mining patterns.",,AI validation - Sonnet 4.5,0,0,,True
c95e40c9-ab41-41da-9800-df56f23a4350,Nf1/p53 double knockout mice,,,,,,,,,,PMID:10591653,,Mouse tumor model for neurofibromatosis type 1.,abstract,0.85,One hundred percent of mice harboring null Nf1 and p53 alleles in cis synergize to develop soft tissue sarcomas between 3 and 7 months of age.,The compound genotype (double knockout) represents a specific animal model that combines both mutations. Mining patterns may not capture complex genotype descriptions.,,AI validation - Sonnet 4.5,0,0,,True
bbe2784a-4f37-469a-84a7-62396d0c565f,conditional Nf2 knockout mice,,,,,,,,,,PMID:10887156,,Conditional biallelic Nf2 mutation in the mouse promotes manifestations of human neurofibromatosis type 2.,abstract,0.95,conditional homozygous Nf2 knockout mice with Cre-mediated excision of Nf2 exon 2 in Schwann cells showed characteristics of neurofibromatosis type 2,Complex multi-word animal model name not captured by current patterns,,AI validation - Sonnet 4.5,0,0,,True
9cd77208-21b0-447f-81a5-fe419eca5b73,Nf2 hemizygous mice,,,,,,,,,,PMID:10887156,,Conditional biallelic Nf2 mutation in the mouse promotes manifestations of human neurofibromatosis type 2.,abstract,0.85,"However, Nf2 hemizygous mice do not develop schwannomas but mainly osteosarcomas",Standard knockout mouse nomenclature not captured,,AI validation - Sonnet 4.5,0,0,,True
3ebef2e8-638f-492d-b189-d41b9173cc10,Nf1 mutant mice,,,,,,,,,,PMID:11080503,,Neurofibromin GTPase-activating protein-related domains restore normal growth in Nf1-/- cells.,abstract,0.95,...we expressed the GRDs of neurofibromin and p120GAP in primary cells from Nf1 mutant mice in vitro and in vivo...,Animal model mentioned in abstract but not caught by mining patterns - may need better pattern for 'mutant mice' terminology,,AI validation - Sonnet 4.5,0,0,,True
e53a4198-fb94-4963-9693-f8bde79d11db,Merlin loss-of-function mutants,,,,,,,,,,PMID:11404331,,A systematic screen for dominant second-site modifiers of Merlin/NF2 phenotypes reveals an interaction with blistered/DSRF and scribbler.,abstract,0.85,...genetic screens designed to isolate second-site modifiers of Merlin phenotypes from which we have identified five multiallelic complementation groups that modify both loss-of-function and dominant-negative Merlin phenotypes...,Specific Drosophila mutant strains not detected - may need patterns for 'loss-of-function mutants' or 'mutant phenotypes',,AI validation - Sonnet 4.5,0,0,,True
f8d86107-e861-4461-b22c-cdc26a42d387,Merlin dominant-negative mutants,,,,,,,,,,PMID:11404331,,A systematic screen for dominant second-site modifiers of Merlin/NF2 phenotypes reveals an interaction with blistered/DSRF and scribbler.,abstract,0.85,...modify both loss-of-function and dominant-negative Merlin phenotypes...,Dominant-negative mutant strains not detected - may need patterns for 'dominant-negative' constructs/strains,,AI validation - Sonnet 4.5,0,0,,True
82da132b-ba07-4d67-b22f-f3e172eff0aa,scribbler/brakeless mutants,,,,,,,,,,PMID:11404331,,A systematic screen for dominant second-site modifiers of Merlin/NF2 phenotypes reveals an interaction with blistered/DSRF and scribbler.,abstract,0.8,...Group IIa/scribbler (also known as brakeless)...mutations in scribbler and blistered display second-site noncomplementation...,Specific Drosophila mutant strain not detected - gene name followed by 'mutants' or 'mutations' pattern needed,,AI validation - Sonnet 4.5,0,0,,True
