antibodyId,targetAntigen,hostOrganism,clonality,cloneId,uniprotId,reactiveSpecies,conjugate,_pmid,_doi,_publicationTitle,_foundIn,_confidence,_contextSnippet,_whyMissed,_reasoning,_source,_completenessScore,_criticalFieldsScore,_missingCriticalFields,_hasMinimumFields
3d52aca6-aeaf-4be9-80ca-fe144261391a,NF2 antibody,,,,,,,PMID:11756419,,Structural basis for neurofibromatosis type 2. Crystal structure of the merlin FERM domain.,methods,0.95,"primary (Cell Signaling Technology Cat# 6995, RRID:AB_10828709, 1:500)","NF2 antibody with vendor, catalog number, RRID, and dilution for immunostaining",,AI validation - Sonnet 4.5,0,0,,
3f1a3cc5-a41e-4de6-816f-ae25bc0de39d,caspase 3 antibody,,,,,,,PMID:18242512,,Induction of abnormal proliferation by nonmyelinating schwann cells triggers neurofibroma formation.,methods,1.0,"caspase 3 (Cell Signaling Technology, cat. # 9662, RRID: AB_331439)","Antibody with vendor, catalog number, and RRID",,AI validation - Sonnet 4.5,0,0,,
d412600e-fe25-4b65-bcfe-154dc937c160,PARP-1 antibody,,,,,,,PMID:18242512,,Induction of abnormal proliferation by nonmyelinating schwann cells triggers neurofibroma formation.,methods,1.0,"PARP-1 (Cell Signaling Technology, cat. # 9542, RRID: AB_2160739)","Antibody with vendor, catalog number, and RRID",,AI validation - Sonnet 4.5,0,0,,
48a61de4-855d-4389-ac08-4d043d53d600,GAPDH antibody,,,,,,,PMID:18503770,,The pathological splicing mutation c.6792C>G in NF1 exon 37 causes a change of tenancy between antagonistic splicing factors.,methods,0.95,"GAPDH (60004-I-Ig, Proteintech, China)",Antibody with catalog number and vendor information,,AI validation - Sonnet 4.5,0,0,,
800b0dcb-3bfb-4824-b9f6-b8230d7a0f3a,KITLG antibody,,,,,,,PMID:18503770,,The pathological splicing mutation c.6792C>G in NF1 exon 37 causes a change of tenancy between antagonistic splicing factors.,methods,0.95,"KITLG (sc-13126, Santa Cruz, USA)",Antibody with catalog number and vendor information,,AI validation - Sonnet 4.5,0,0,,
dd3e8080-2747-43f7-b425-817ac386fd1a,phospho-p42/44 (pERK1/2) #9102 Cell Signaling,,,,,,,PMID:18671844,,Modelling neurofibromatosis type 1 tibial dysplasia and its treatment with lovastatin.,methods,1.0,"For Western blot analysis, membranes were probed with the following antibodies: phospho-p42/44 (pERK1/2) #9102 Cell Signaling (diluted 1:1000)",This is a specific antibody with catalog number and vendor information,,AI validation - Sonnet 4.5,0,0,,
00f7041b-84ad-4cce-92f1-9a79beedf2d9,p44 (ERK1) #4372 Cell Signaling,,,,,,,PMID:18671844,,Modelling neurofibromatosis type 1 tibial dysplasia and its treatment with lovastatin.,methods,1.0,p44 (ERK1) #4372 Cell Signaling (diluted 1:1000),This is a specific antibody with catalog number and vendor information,,AI validation - Sonnet 4.5,0,0,,
6c23fd61-38b2-4457-9f01-9653d05537d4,S100 protein antibody,,,,,,,PMID:18769552,,Frequent EGFR Positivity and Overexpression in High-Grade Areas of Human MPNSTs.,methods,0.95,"Immunostaining with S100 protein (rabbit polyclonal, Dako, Carpenteria, Calif, USA) and KIT (rabbit polyclonal, Dako) was performed when necessary to confirm diagnosis.",Specific antibody with vendor information (Dako) and species (rabbit polyclonal) clearly mentioned,,AI validation - Sonnet 4.5,0,0,,
d2bb86bb-17d3-4bfd-b2c7-cc1feef204fa,KIT antibody,,,,,,,PMID:18769552,,Frequent EGFR Positivity and Overexpression in High-Grade Areas of Human MPNSTs.,methods,0.95,"Immunostaining with S100 protein (rabbit polyclonal, Dako, Carpenteria, Calif, USA) and KIT (rabbit polyclonal, Dako) was performed when necessary to confirm diagnosis.",Specific antibody with vendor information (Dako) and species (rabbit polyclonal) clearly mentioned,,AI validation - Sonnet 4.5,0,0,,
2dd03334-9c0d-4dfd-afdb-e614e1a7d927,anti-EGFR antibody (31G7),,,,,,,PMID:18769552,,Frequent EGFR Positivity and Overexpression in High-Grade Areas of Human MPNSTs.,methods,0.98,"For mouse monoclonal anti-EGFR (31G7, Zymed, South San Francisco, Calif, USA, final dilution 1/10), P53 (DO-7, Novocastra, Newcastle upon Tyne, UK, final dilution 1/50)","Specific antibody clone (31G7) with vendor (Zymed), species (mouse monoclonal), and dilution specified",,AI validation - Sonnet 4.5,0,0,,
