clinicalAssessmentToolId,assessmentName,assessmentType,targetPopulation,diseaseSpecific,numberOfItems,scoringMethod,validatedLanguages,psychometricProperties,administrationTime,availabilityStatus,licensingRequirements,digitalVersion,_pmid,_doi,_publicationTitle,_foundIn,_confidence,_contextSnippet,_whyMissed,_reasoning,_source,_completenessScore,_criticalFieldsScore,_missingCriticalFields,_hasMinimumFields
a9d53d34-8ecf-4ec5-8168-9af4409db764,American College of Medical Genetics and Genomics (ACMG) 2015 guideline,,,,,,,,,,,,PMID:18218617,,"Neurofibromatosis type 1 (NF1) tumor suppressor, neurofibromin, regulates the neuronal differentiation of PC12 cells via its associating protein, CRMP-2.",results,0.8,All the P/LP variants were classified based on American College of Medical Genetics and Genomics (ACMG) 2015 guideline,Clinical guideline/classification system not recognized as assessment tool,,AI validation - Sonnet 4.5,0,0,,
340699b0-d03d-40bd-82df-fbad330f8b01,Rey complex figure test,,,,,,,,,,,,PMID:18632543,,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,abstract,0.95,"Primary outcomes were scores on a Rey complex figure test (delayed recall), cancellation test (speed), prism adaptation, and the mean brain apparent diffusion coefficient",This is a well-established neuropsychological test used to assess visuospatial constructional ability and visual memory. It was used as a primary outcome measure.,,AI validation - Sonnet 4.5,0,0,,
ca15be3c-63a9-45f7-843b-5bb873de1d00,cancellation test,,,,,,,,,,,,PMID:18632543,,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,abstract,0.9,"Primary outcomes were scores on a Rey complex figure test (delayed recall), cancellation test (speed), prism adaptation",This is a standardized neuropsychological test used to assess attention and processing speed. It was used as a primary outcome measure.,,AI validation - Sonnet 4.5,0,0,,
0d7baae0-67b7-4a02-a616-a2d44f10f4a5,prism adaptation,,,,,,,,,,,,PMID:18632543,,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,abstract,0.85,"Primary outcomes were scores on a Rey complex figure test (delayed recall), cancellation test (speed), prism adaptation, and the mean brain apparent diffusion coefficient",This is a neuropsychological assessment technique used to evaluate visuospatial attention and adaptation. It was used as a primary outcome measure.,,AI validation - Sonnet 4.5,0,0,,
2200ca65-9c39-4d63-8a5a-3233b7104079,Stroop color word test,,,,,,,,,,,,PMID:18632543,,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,abstract,0.95,"Secondary outcome measures were scores on the cancellation test (standard deviation), Stroop color word test, block design, object assembly",This is a well-established neuropsychological test used to assess cognitive flexibility and executive function. It was used as a secondary outcome measure.,,AI validation - Sonnet 4.5,0,0,,
4ed2e86c-1c20-4e11-877a-b1d8bd33b5d7,block design,,,,,,,,,,,,PMID:18632543,,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,abstract,0.9,"Secondary outcome measures were scores on the cancellation test (standard deviation), Stroop color word test, block design, object assembly",This is a standardized subtest (typically from WISC or WAIS) used to assess visuospatial processing and nonverbal reasoning. It was used as a secondary outcome measure.,,AI validation - Sonnet 4.5,0,0,,
26a33970-c261-4335-ae80-c039ad0e136b,object assembly,,,,,,,,,,,,PMID:18632543,,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,abstract,0.9,"Secondary outcome measures were scores on the cancellation test (standard deviation), Stroop color word test, block design, object assembly, Rey complex figure test (copy)",This is a standardized subtest used to assess visuospatial processing and perceptual organization. It was used as a secondary outcome measure and showed significant improvement.,,AI validation - Sonnet 4.5,0,0,,
dc9dd85b-43c7-4d80-a9f9-ac6c7f703c0b,Beery developmental test of visual-motor integration,,,,,,,,,,,,PMID:18632543,,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,abstract,0.95,"Rey complex figure test (copy), Beery developmental test of visual-motor integration, and judgment of line orientation",This is a standardized developmental assessment tool (VMI) used to evaluate visual-motor integration skills in children. It was used as a secondary outcome measure.,,AI validation - Sonnet 4.5,0,0,,
20fe4ffd-57cd-4e5f-9dc3-23f986e79530,judgment of line orientation,,,,,,,,,,,,PMID:18632543,,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,abstract,0.9,"Beery developmental test of visual-motor integration, and judgment of line orientation. Scores were corrected for baseline performance, age, and sex.",This is a standardized neuropsychological test used to assess visuospatial perception and judgment. It was used as a secondary outcome measure.,,AI validation - Sonnet 4.5,0,0,,
1f3c1d3e-4c96-423c-ae24-1129afd018c1,word recognition scores using 50-word recorded lists,,,,,,,,,,,,PMID:19430883,,Suggested response criteria for phase II antitumor drug studies for neurofibromatosis type 2 related vestibular schwannoma.,abstract,0.8,Hearing response is defined as a statistically significant improvement in word recognition scores using 50-word recorded lists in audiology.,This is a specific audiological assessment method/protocol that constitutes a clinical assessment tool for hearing evaluation in NF2 patients. Current mining patterns may not capture detailed assessment methodologies described within response criteria definitions.,,AI validation - Sonnet 4.5,0,0,,
85e17296-08de-4a3f-b5bd-a147c331d991,NF-1Score,,,,,,,,,,,,PMID:20428190,,NF-1Score: a prediction score for internal neurofibromas in neurofibromatosis-1.,abstract,0.9,Our purpose was to develop and to validate a clinical score for predicting internal neurofibromas in adults...The score computed by linear combination of the rounded coefficients of these four variables ranged from 0 to 40,"The prediction score developed in this study is itself a clinical assessment tool, but may not have been recognized as such by mining patterns",,AI validation - Sonnet 4.5,0,0,,
c4f27684-1296-4a2f-82f1-ca4ab1a990dc,working memory assays,,,,,,,,,,,,PMID:20624961,,Neurofibromin regulates corticostriatal inhibitory networks during working memory performance.,abstract,0.8,"...Accordingly, working memory assays applied during functional MRI (fMRI) studies in human subjects...",Specific assessment tools used to measure cognitive function in human subjects,,AI validation - Sonnet 4.5,0,0,,
d2d49394-af50-4254-b9d0-7df09adbea92,behavioral working memory probes,,,,,,,,,,,,PMID:20624961,,Neurofibromin regulates corticostriatal inhibitory networks during working memory performance.,abstract,0.75,"...Here, we use behavioral working memory probes and electrophysiological studies in a mouse model...",Behavioral assessment tools used for cognitive testing in mice,,AI validation - Sonnet 4.5,0,0,,
209053c9-70c6-4096-8a3a-729719ef93e8,Rotarod,,,,,,,,,,,,PMID:21352477,,Motor deficits in neurofibromatosis type 1 mice: the role of the cerebellum.,abstract,0.9,"...Using the Rotarod, a non-specific motor performance test, we confirmed that, like NF1 patients, Nf1(+/-) mice have motor deficits...","Behavioral testing apparatus for motor performance assessment, commonly used in neuroscience research",,AI validation - Sonnet 4.5,0,0,,
4b9965b7-b2a7-468f-a1cf-a3d81df9708f,Erasmus ladder,,,,,,,,,,,,PMID:21352477,,Motor deficits in neurofibromatosis type 1 mice: the role of the cerebellum.,abstract,0.85,"...Nf1(+/-) mice showed no impairment on the Erasmus ladder, as step time and number of missteps were not different...","Specific behavioral testing apparatus for motor coordination assessment, should be detected by assessment tool patterns",,AI validation - Sonnet 4.5,0,0,,
245a2f3a-c2e6-4462-8cbb-c2873e4153b2,optokinetic reflex,,,,,,,,,,,,PMID:21352477,,Motor deficits in neurofibromatosis type 1 mice: the role of the cerebellum.,abstract,0.8,"...when compensatory eye movements were tested, no performance deficits were found in the optokinetic reflex and vestibulo-ocular reflex...",Physiological assessment protocol for testing visual-motor reflexes,,AI validation - Sonnet 4.5,0,0,,
