patientDerivedModelId,modelSystemType,patientDiagnosis,hostStrain,passageNumber,tumorType,engraftmentSite,establishmentRate,molecularCharacterization,clinicalData,humanizationMethod,immuneSystemComponents,validationMethods,_modelName,_pmid,_doi,_publicationTitle,_foundIn,_confidence,_contextSnippet,_whyMissed,_reasoning,_source,_completenessScore,_criticalFieldsScore,_missingCriticalFields,_hasMinimumFields
9a44e9ab-c43a-424b-aa45-7a65a56e1bd7,,,,,,,,,,,,,Human neurofibroma xenografts,PMID:15240917,,Survival of Human Neurofibroma in Immunodeficient Mice and Initial Results of Therapy With Pirfenidone.,methods,1.0,Two hundred twelve human neurofibromas were transplanted into various locations in 59 experimental animals...Human neurofibromas were obtained from four patients with neurofibromatosis,"Patient-derived xenograft model - human tumor tissue transplanted into mice, classic PDX model",,AI validation - Sonnet 4.5,0,0,,
e1bb813c-f296-40ce-a148-1ca947df2313,,,,,,,,,,,,,WU-356 PDX,PMID:18242512,,Induction of abnormal proliferation by nonmyelinating schwann cells triggers neurofibroma formation.,methods,1.0,The WU-356 and WU-386 MPNST PDX lines were described previously and maintained through passage in mice,Patient-derived xenograft model with clear PDX designation,,AI validation - Sonnet 4.5,0,0,,
0db7bf5f-cc8d-4080-b0f2-59686e781057,,,,,,,,,,,,,WU-386 PDX,PMID:18242512,,Induction of abnormal proliferation by nonmyelinating schwann cells triggers neurofibroma formation.,methods,1.0,The WU-356 and WU-386 MPNST PDX lines were described previously and maintained through passage in mice,Patient-derived xenograft model with clear PDX designation,,AI validation - Sonnet 4.5,0,0,,
7d2b763d-7051-4621-975e-0aee5953508b,,,,,,,,,,,,,vestibular schwannoma xenografts,PMID:18636037,,The ErbB inhibitors trastuzumab and erlotinib inhibit growth of vestibular schwannoma xenografts in nude mice: a preliminary study.,abstract,1.0,...To analyze the ability of ErbB inhibitors to reduce the growth of vestibular schwannoma (VS) xenografts. METHODS: Vestibular schwannoma xenografts were established...,Patient-derived xenograft model not recognized by current patterns,,AI validation - Sonnet 4.5,0,0,,
a6bd086a-3f26-41e1-a0b1-dbdb57df01b2,,,,,,,,,,,,,Patient-derived xenograft model,PMID:18931645,,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,methods,1.0,...Patient excised vestibular schwannomas were cultured and transduced with firefly luciferase expressing lentivirus. One million cells were stereotactically injected...,PDX model establishment described but not recognized as a formal tool type,,AI validation - Sonnet 4.5,0,0,,
19a6d6c4-b506-4aba-8786-d889cd1e4193,,,,,,,,,,,,,Vestibular schwannoma cell cultures,PMID:18931645,,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,methods,0.8,...Patient excised vestibular schwannomas were cultured and transduced...,Patient-derived primary cell cultures not recognized as model system,,AI validation - Sonnet 4.5,0,0,,
bf86a161-eee4-4a9e-8c33-b2d8b3e8fa98,,,,,,,,,,,,,primary human MPNST xenografts,PMID:23328114,,Genomic imbalance of HMMR/RHAMM regulates the sensitivity and response of malignant peripheral nerve sheath tumour cells to aurora kinase inhibition.,methods,1.0,"One sporadic (SP-MPNST) and one hereditary (NF1-MPNST) primary, human MPNST were separately transplanted orthotopically",Patient-derived xenograft models not detected,,AI validation - Sonnet 4.5,0,0,,
d7033f19-be88-4f78-b21f-266e651daf60,,,,,,,,,,,,,tumor xenograft models,PMID:24848258,,Merlin deficiency predicts FAK inhibitor sensitivity: a synthetic lethal relationship.,abstract,0.9,"Our data demonstrate that low Merlin expression predicts for increased sensitivity of MPM cells to a FAK inhibitor, VS-4718, in vitro and in tumor xenograft models",Xenograft models mentioned but no specific model names or details provided,,AI validation - Sonnet 4.5,0,0,,
cd77d244-2bb3-4f93-99e7-69b96b2ed785,,,,,,,,,,,,,PNF xenografts,PMID:25340526,,Nilotinib is more potent than imatinib for treating plexiform neurofibroma in vitro and in vivo.,methods,0.95,"The xenografting of fragments of PNF was carried out as described previously [17], [19]. Briefly, a small incision was made into the skin to expose the right sciatic nerve and an incision was made into the sciatic nerve, under which one tumor piece was orthtopically implanted",Patient-derived xenograft model establishment was not recognized,,AI validation - Sonnet 4.5,0,0,,
1f7c46fa-2a3e-47a7-bdf9-3ea74338c4e9,,,,,,,,,,,,,patient-derived schwannomas,PMID:29440379,,Targeting the cMET pathway augments radiation response without adverse effect on hearing in NF2 schwannoma models.,abstract,0.85,"Using organoid brain slice culture, cMET blockade inhibited the growth of patient-derived schwannomas.",Patient-derived model not detected - may need patterns for 'patient-derived [tumor type]',,AI validation - Sonnet 4.5,0,0,,
