_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,name
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,Experimental subjects were 8–12 week old 129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- male and female mice that were generated via the F1 cross,0.95,Accept,Experimental Usage,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"three distinct, Nf1-deficient rat models to model NF-related breast cancer...The Nf1 inframe indel (Nf1-IF) rats have a 54bp deletion in exon 20",0.95,Accept,Experimental Usage,Nf1-IF rat model
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,The Nf1 premature stop indel (Nf1-PS) rats have an 8-bp deletion in exon 20 that introduces a premature stop codon,0.95,Accept,Experimental Usage,Nf1-PS rat model
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,The Nf1 in-frame premature stop indel (Nf1-IFPS) rats have a 57-bp deletion in exon 20 that results in a unique messenger RNA (mRNA) isoform,0.95,Accept,Experimental Usage,Nf1-IFPS rat model
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,...we assessed bone healing in the Nf1(ob) (-/-) conditional mouse model lacking Nf1 specifically in osteoblasts...,0.9,Accept,Experimental Usage,Nf1(ob) (-/-) conditional mouse model
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,...WT and mice were generated by crossing 2.3-kb α1(I) collagen-cre Nf1 flox/flox mice and Nf1 flox/flox mice...,0.85,Accept,Experimental Usage,2.3-kb α1(I) collagen-cre Nf1 flox/flox mice
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"...crossing 2.3-kb α1(I) collagen-cre Nf1 flox/flox mice and Nf1 flox/flox mice, as described previously...",0.85,Accept,Experimental Usage,Nf1 flox/flox mice
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,Female NOD SCID (NOD.CB17-Prkdc/NCrCrl) mice from Charles River Laboratories were housed in barrier facilities designed for immune-compromised animals,0.95,Accept,Experimental Usage,NOD SCID mice (NOD.CB17-Prkdc/NCrCrl)
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,Initial range-finding studies employed female Balb/c mice (Taconic Laboratories),0.85,Accept,Experimental Usage,Balb/c mice
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"Single-cell preparations of hepatocytes were prepared from male Sprague-Dawley rats (Harlan, Indianapolis, IN, USA)",0.8,Accept,Experimental Usage,Sprague-Dawley rats
PMID:32781282,10.1016/j.trsl.2020.08.001,Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1.,,Nf1 heterozygous (Nf1+/-) mice accurately reflect the dominant inheritance of NF1 and are regularly employed as a model of NF1,0.95,Accept,Experimental Usage,Nf1+/- mice
