_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,targetAntigen
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,Anti-tyrosine hydroxylase (Rabbit polyclonal) EMD Millipore Cat#: AB152 RRID: AB_390204 IHC (1:1000),0.9,Accept,Experimental Usage,Anti-tyrosine hydroxylase (Rabbit polyclonal)
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,Anti-tyrosine hydroxylase (mouse monoclonal) ImmunoStar Cat#: 22941 RRID: AB_572268 IHC (1:1000),0.9,Accept,Experimental Usage,Anti-tyrosine hydroxylase (mouse monoclonal)
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,Anti-GFP (mouse polyclonal) Aves Cat#: GFP-1020 RRID: AB_10000240 IHC (1:1000),0.9,Accept,Experimental Usage,Anti-GFP (mouse polyclonal)
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"Immunoblotting was carried out using antibodies against neurofibromin (H12, Bethyl, iNF-07E)",0.9,Accept,Experimental Usage,neurofibromin antibody H12
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"antibodies against neurofibromin – Bethyl (Bethyl, Cat# A300-140A, primary 1:500, secondary 1:2000)",0.95,Accept,Experimental Usage,neurofibromin antibody Bethyl A300-140A
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"iNF-07E (gifted by iNFiXion Bioscience, Biointron, Cat# B21900201, primary 1:500, secondary 1:2000)",0.9,Accept,Experimental Usage,neurofibromin antibody iNF-07E
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"Immunoblotting was carried out using antibodies against...pERα S118 (Sigma, Cat# SAB450399)",0.85,Accept,Experimental Usage,pERα S118 antibody
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"Erα E115 (Abcam, Cat# 32063)",0.85,Accept,Experimental Usage,ERα E115 antibody
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"pERK T202/Y204 (Cell Signaling Technology, Cat#9101L)",0.85,Accept,Experimental Usage,pERK T202/Y204 antibody
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"ERK (Cell Signaling Technology, Cat#4695S)",0.85,Accept,Experimental Usage,ERK antibody
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"pAKT S473 (Cell Signaling Technology, Cat#9271L)",0.85,Accept,Experimental Usage,pAKT S473 antibody
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"AKT (Cell Signaling Technology, Cat#9272S)",0.85,Accept,Experimental Usage,AKT antibody
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"β-tubulin (Cell Signaling Technology, Cat#2146, primary 1:500, secondary 1:2000)",0.85,Accept,Experimental Usage,β-tubulin antibody
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"voltage-dependent anion channel (VDAC) (Invitrogen, Cat# PA1-954A, primary 1:1000, secondary 1:3000)",0.85,Accept,Experimental Usage,VDAC antibody
