_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,_cellLineName
PMID:12057013,10.1186/1471-2164-3-13,Complex splicing pattern generates great diversity in human NF1 transcripts.,,The PCR products were cloned in the pCR2.1-TOPO-vector (Invitrogen) and transformed into TOP-10F' cells.,0.85,Accept,Experimental Usage,TOP-10F' cells
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,We employed two ER+ NF1-deficient breast cancer models: (1) an NF1-deficient MCF7 breast cancer cell line to model sporadic breast cancer,0.95,Accept,Experimental Usage,MCF7
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"established multiple NF1-deficient cell lines of which one was chosen for this analysis, NF1-45",0.9,Accept,Development,NF1-45
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...Final baculovirus expression clones were transformed into DH10Bac cells (Thermo Fisher Scientific)...,0.9,Accept,Experimental Usage,DH10Bac cells
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...E. coli expression clones were transformed into BL21(DE3) for expression...,0.9,Accept,Experimental Usage,BL21(DE3)
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...baculoviruses were generated by transfection of bacmid DNA into Sf9 cells...,0.9,Accept,Experimental Usage,Sf9 cells
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...Titered viruses were used at a multiplicity of infection of 3 to infect Tni-FNL cells...,0.9,Accept,Experimental Usage,Tni-FNL cells
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...An NF1-null HEK293T cell line was generated using CRISPR to knock out both alleles of NF1...,0.95,Accept,Development,NF1-null HEK293T cell line
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...HEK293T and NF1-null 293T cells were maintained in DMEM with 10% fetal bovine serum...,0.9,Accept,Experimental Usage,HEK293T
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"The human NF1 MPNST cell line S462TY was the gift of N. Ratner (University of Cincinnati College of Medicine, Cincinnati, OH, USA). It was derived from a xenograft of S462 cells",0.95,Accept,Experimental Usage,S462TY
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"The immortalized normal rat Schwann cell line iSC was provided by E. M. Shooter (Stanford University, Stanford, CA, USA)",0.85,Accept,Experimental Usage,iSC
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"The MPNST cell line ST88-14 was obtained from T. Glover (University of Michigan, Ann Arbor, MI, USA)",0.95,Accept,Experimental Usage,ST88-14
PMID:39110684,10.1371/journal.pone.0308207,Electrical stimulation of Schwann cells on electrospun hyaluronic acid carbon nanotube fibers.,,"Immortalized NF1 patient derived Schwann cell (NF SC, NF-/-) line, ipNF 95.11b and Wild type Schwann cell (WT SC, NF+/+) line, ipn 02.8 were utilized for all experiments",0.9,Accept,Experimental Usage,ipNF 95.11b
PMID:39110684,10.1371/journal.pone.0308207,Electrical stimulation of Schwann cells on electrospun hyaluronic acid carbon nanotube fibers.,,"Immortalized NF1 patient derived Schwann cell (NF SC, NF-/-) line, ipNF 95.11b and Wild type Schwann cell (WT SC, NF+/+) line, ipn 02.8 were utilized for all experiments",0.9,Accept,Experimental Usage,ipn 02.8
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,"We used a murine NF2 −/− Schwann cell line (we obtained this as a gift from X. Breakefield, Massachusetts General Hospital) in our study.",0.9,Accept,Experimental Usage,murine NF2 −/− Schwann cell line
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,human HEI-193 schwannoma cells in nude mice...We have successfully grown human HEI-193 in nude mice by following the same procedure.,0.9,Accept,Experimental Usage,HEI-193 cell line
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,We performed a genome-wide CRISPR/Cas9-based knockout screen of P53-null mouse embryonic liver progenitor cells that overexpressed MYC,0.85,Accept,Experimental Usage,p53−/− mouse embryonic liver progenitor cells
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,293fs cells were used to package lentivirus encoding individual sgRNA and Cas9,0.8,Accept,Experimental Usage,293fs cells
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,KrasG12D;shp53 mouse cholangiocarcinoma was generated using KrasLSL-G12D/+ liver progenitor cells which express endogenous level of KrasG12D,0.85,Accept,Experimental Usage,KrasLSL-G12D/+ liver progenitor cells
PMID:29402968,10.1038/s41598-018-20894-0,Integrating Functional Analysis in the Next-Generation Sequencing Diagnostic Pipeline of RASopathies.,,"mutant transcripts were expressed in HEK-293T cells. The phosphorylation level of ELK1, which is a downstream substrate of the RAS/MAPK pathway",0.9,Accept,Experimental Usage,HEK-293T cells
PMID:31015291,10.1126/scisignal.aau8749,Proximity biotinylation identifies a set of conformation-specific interactions between Merlin and cell junction proteins.,,"HEK 293T and immortalized mouse Nf2 Schwann cells, a gift from D. Lallemand...were maintained in Dulbecco's minimum essential medium",0.9,Accept,Experimental Usage,HEK 293T
PMID:31015291,10.1126/scisignal.aau8749,Proximity biotinylation identifies a set of conformation-specific interactions between Merlin and cell junction proteins.,,"HEK 293T and immortalized mouse Nf2 Schwann cells, a gift from D. Lallemand (Centre National de la Recherche Scientifique, Institut Curie, Paris, France)",0.95,Accept,Experimental Usage,immortalized mouse Nf2 Schwann cells
PMID:40225167,10.1155/2023/9628049,Functional Assays Combined with Pre-mRNA-Splicing Analysis Improve Variant Classification and Diagnostics for Individuals with Neurofibromatosis Type 1 and Legius Syndrome.,,"HEK 293 T and COS-7 cells were maintained in Dulbecco's Modified Eagle Medium (DMEM)...To investigate the NF-SPRED interaction, FLAG-SPRED1 (WT or variant) and NF (WT or variant) were coexpressed in HEK 293 T cells",0.9,Accept,Experimental Usage,HEK 293T cells
PMID:40225167,10.1155/2023/9628049,Functional Assays Combined with Pre-mRNA-Splicing Analysis Improve Variant Classification and Diagnostics for Individuals with Neurofibromatosis Type 1 and Legius Syndrome.,,HEK 293 T and COS-7 cells were maintained in Dulbecco's Modified Eagle Medium (DMEM)...HA-H-RAS was expressed together with either wild-type (WT) or variant NF in COS-7 or HEK 293 T cells,0.9,Accept,Experimental Usage,COS-7 cells
PMID:21199799,10.1158/0008-5472.CAN-10-2732,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,,"Nf1 −/− , Nf1 +/− , and wildtype mouse embryo fibroblasts were generated as previously described ( 15 ).",0.9,Accept,Experimental Usage,Nf1−/− mouse embryo fibroblasts
PMID:21199799,10.1158/0008-5472.CAN-10-2732,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,,"Nf1 −/− , Nf1 +/− , and wildtype mouse embryo fibroblasts were generated as previously described ( 15 ).",0.9,Accept,Experimental Usage,Nf1+/− mouse embryo fibroblasts
PMID:24824755,10.1371/journal.pone.0096733,BNIP3 regulates AT101 [(-)-gossypol] induced death in malignant peripheral nerve sheath tumor cells.,,"We have previously described the source of T265-2c cells, ST88-14 cells and 90-8 cells, the human NF1-associated MPNST lines used in this study",0.9,Accept,Experimental Usage,T265-2c cells
PMID:24824755,10.1371/journal.pone.0096733,BNIP3 regulates AT101 [(-)-gossypol] induced death in malignant peripheral nerve sheath tumor cells.,,"We have previously described the source of T265-2c cells, ST88-14 cells and 90-8 cells, the human NF1-associated MPNST lines used in this study",0.9,Accept,Experimental Usage,ST88-14 cells
PMID:24824755,10.1371/journal.pone.0096733,BNIP3 regulates AT101 [(-)-gossypol] induced death in malignant peripheral nerve sheath tumor cells.,,"We have previously described the source of T265-2c cells, ST88-14 cells and 90-8 cells, the human NF1-associated MPNST lines used in this study",0.9,Accept,Experimental Usage,90-8 cells
PMID:24040940,10.1186/1479-5876-11-213,Molecular-guided therapy predictions reveal drug resistance phenotypes and treatment alternatives in malignant peripheral nerve sheath tumors.,,"MPNST-derived cell lines NF96.2, NF02.2, and NF94.3 (ATCC) and benign neurofibroma cell lines were maintained",0.95,Accept,Experimental Usage,NF96.2
PMID:24040940,10.1186/1479-5876-11-213,Molecular-guided therapy predictions reveal drug resistance phenotypes and treatment alternatives in malignant peripheral nerve sheath tumors.,,"MPNST-derived cell lines NF96.2, NF02.2, and NF94.3 (ATCC) and benign neurofibroma cell lines were maintained",0.95,Accept,Experimental Usage,NF02.2
