_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,assessmentName
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,,"...developmental delay assessed with the Survey of Well-being of Young Children...SWYC surveys conducted on the same days, which assess developmental milestones...",0.95,Accept,Experimental Usage,Survey of Well-being of Young Children
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,,...we aligned NF1 head circumference data to Survey of Well Being of Young Children (SWYC) surveys conducted on the same days...,0.95,Accept,Experimental Usage,SWYC
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,,...head circumference normalized using Centers for Disease Control (CDC) growth charts...We used the LMS method from Centers for Disease Control (CDC) growth charts...,0.9,Accept,Experimental Usage,Centers for Disease Control (CDC) growth charts
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,,An assessment of sleep parameters...with an Apple Watch Ultra model 2 (application: Sleep++) was performed in all the patients with a total of three different measurements per patient,0.85,Accept,Experimental Usage,Apple Watch Ultra model 2
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,,An assessment of sleep parameters...with an Apple Watch Ultra model 2 (application: Sleep++) was performed in all the patients,0.8,Accept,Experimental Usage,Sleep++
PMID:33963966,10.1007/s10803-021-05043-3,Cognitive and Electrophysiological Correlates of Working Memory Impairments in Neurofibromatosis Type 1.,,"Participants were children aged 12–17 years meeting the National Institute of Health (National Institutes of Health Consensus Development Conference, 1988) diagnostic criteria for NF1.",0.85,Accept,Experimental Usage,National Institute of Health diagnostic criteria for NF1
PMID:33963966,10.1007/s10803-021-05043-3,Cognitive and Electrophysiological Correlates of Working Memory Impairments in Neurofibromatosis Type 1.,,The aim of this study was to investigate P300 event-related potential (ERP) associated with WM in NF1...EEG was recorded during a WM nback task.,0.8,Accept,Experimental Usage,P300 event-related potential
PMID:33963966,10.1007/s10803-021-05043-3,Cognitive and Electrophysiological Correlates of Working Memory Impairments in Neurofibromatosis Type 1.,,EEG was recorded during a WM nback task. The NF1 group showed poorer performance on measures of WM as compared to the control group.,0.75,Accept,Experimental Usage,WM nback task
PMID:33817379,10.1016/j.heliyon.2021.e06518,Clinical assessment of the use of topical liquid diclofenac following laser microporation of cutaneous neurofibromas in individuals with neurofibromatosis type 1.,,"cNFs were laser-porated using the P.L.E.A.S.E.® device with the following user-defined settings: density of 10%, 5 pulses per pore, repetition rate of 300 Hz",0.85,Accept,Experimental Usage,P.L.E.A.S.E.® device
PMID:33817379,10.1016/j.heliyon.2021.e06518,Clinical assessment of the use of topical liquid diclofenac following laser microporation of cutaneous neurofibromas in individuals with neurofibromatosis type 1.,,"visual and dermatoscopy observations (using the Dermlite DL3 [3Gen, San Jan Capistrano, CA, USA]) noting color and presence of necrosis",0.85,Accept,Experimental Usage,Dermlite DL3
PMID:33817379,10.1016/j.heliyon.2021.e06518,Clinical assessment of the use of topical liquid diclofenac following laser microporation of cutaneous neurofibromas in individuals with neurofibromatosis type 1.,,"patients with a clinical diagnosis of NF1 according to the NIH Consensus Development Conference NF1 diagnostic criteria (NIH, 1998)",0.85,Accept,Experimental Usage,NIH Consensus Development Conference NF1 diagnostic criteria
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"...radiography obtained using a digital cabinet X-ray system (LX-60, Faxitron X-Ray, LLC, Wheeling, IL, USA)...",0.8,Accept,Experimental Usage,"LX-60, Faxitron X-Ray, LLC"
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"...evaluated using an ex vivo µCT imaging system (Scanco µCT 40, Scanco Medical, Bassersdorf, Switzerland)...",0.85,Accept,Experimental Usage,Scanco µCT 40
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"...positioned on the bottom two supports such that callus was directly below the top loading point at the end of the actuator (Dynamight 8841, Instron, Canton, OH, USA)...",0.8,Accept,Experimental Usage,"Dynamight 8841, Instron"
PMID:32781282,10.1016/j.trsl.2020.08.001,Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1.,,"For Hemoglobin A1c measurements, blood samples were immediately measured using the A1C Now Diabetes Management HbA1C test kit (PTS Diagnostic, Indianapolis, IN)",0.85,Accept,Experimental Usage,"A1C Now Diabetes Management HbA1C test kit (PTS Diagnostic, Indianapolis, IN)"
PMID:32781282,10.1016/j.trsl.2020.08.001,Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1.,,"For lipoprotein, triglyceride, and cholesterol measurements, fresh serum was assayed using LDX Cholestech cartridges (Abbott, Chicago, IL)",0.8,Accept,Experimental Usage,"LDX Cholestech cartridges (Abbott, Chicago, IL)"
PMID:32781282,10.1016/j.trsl.2020.08.001,Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1.,,"stored at −80°C until analysis using a Pro-diabetes multiplex assay from Bio-Rad (Bio-Rad, Hercules, CA)",0.85,Accept,Experimental Usage,"Pro-diabetes multiplex assay from Bio-Rad (Bio-Rad, Hercules, CA)"
PMID:39110684,10.1371/journal.pone.0308207,Electrical stimulation of Schwann cells on electrospun hyaluronic acid carbon nanotube fibers.,,"transferred into a 96-well plate, and read using Thermo Scientific Multiskan GO at 570 and 600nm to obtain the absorption gradient",0.8,Accept,Experimental Usage,Thermo Scientific Multiskan GO
PMID:33507822,10.1200/JCO.20.02220,NF106: A Neurofibromatosis Clinical Trials Consortium Phase II Trial of the MEK Inhibitor Mirdametinib (PD-0325901) in Adolescents and Adults With NF1-Related Plexiform Neurofibromas.,,The Numerical Rating Scale-11 is a self-report measure of pain intensity that was adapted to assess PN-related pain for NF1 clinical trials.,0.85,Accept,Experimental Usage,Numerical Rating Scale-11
PMID:33507822,10.1200/JCO.20.02220,NF106: A Neurofibromatosis Clinical Trials Consortium Phase II Trial of the MEK Inhibitor Mirdametinib (PD-0325901) in Adolescents and Adults With NF1-Related Plexiform Neurofibromas.,,The Brief Pain Inventory Pain Interference subscale assesses the impact of pain on daily functioning in seven areas from 0 (does not interfere) to 10 (completely interfered),0.85,Accept,Experimental Usage,Brief Pain Inventory Pain Interference subscale
PMID:33507822,10.1200/JCO.20.02220,NF106: A Neurofibromatosis Clinical Trials Consortium Phase II Trial of the MEK Inhibitor Mirdametinib (PD-0325901) in Adolescents and Adults With NF1-Related Plexiform Neurofibromas.,,The Pediatric Quality of Life Inventory NF1 module is a disease-specific health-related quality-of-life (QOL) measure assessing 16 domains.,0.9,Accept,Experimental Usage,Pediatric Quality of Life Inventory NF1 module
PMID:38811427,10.1186/s41687-024-00732-w,Quality of life in individuals with neurofibromatosis type 1 associated cutaneous neurofibromas: validation of the Dutch cNF-Skindex.,,"The cNF-Skindex is an 18-item questionnaire, including three domains: 'functioning', 'emotions', and 'symptoms'. Each item is scored on a 7-point Likert scale",0.95,Accept,Experimental Usage,cNF-Skindex
PMID:38811427,10.1186/s41687-024-00732-w,Quality of life in individuals with neurofibromatosis type 1 associated cutaneous neurofibromas: validation of the Dutch cNF-Skindex.,,We aimed to adapt and validate a Dutch version of the cNF-Skindex...The Dutch cNF-Skindex demonstrated excellent feasibility and reliability,0.95,Accept,Development,Dutch cNF-Skindex
