_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,softwareName,softwareType,softwareVersion,programmingLanguage,sourceRepository,documentation,licenseType,containerized,maintainer
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,"Statistical analysis was performed using Matlab (MathWorks, Inc) and GraphPad Prism 7",0.8,Accept,Experimental Usage,Matlab,Analysis Software,,MATLAB,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,"Statistical analysis was performed using Matlab (MathWorks, Inc) and GraphPad Prism 7 (GraphPad Software, Inc)",0.8,Accept,Experimental Usage,GraphPad Prism 7,Analysis Software,7,,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,ABET II Software for Operant Control Lafayette Instrument Company Model 89501,0.85,Accept,Experimental Usage,ABET II Software for Operant Control,Analysis Software,,,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,Fiber Photometry Trace Processing Gradinaru Lab FP_Session_Processing_2.m https://github.com/GradinaruLab/dLight1/blob/master/FP_Session_Processing2.m,0.9,Accept,Experimental Usage,Fiber Photometry Trace Processing,Analysis Software,,MATLAB,https://github.com/GradinaruLab/dLight1/blob/master/FP_Session_Processing2.m,,,,
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,Sequence reads were mapped to the human reference genome (GRCh37/hg19) using Novoalign tool v3.02.06,0.95,Accept,Experimental Usage,Novoalign tool v3.02.06,Analysis Software,v3.02.06,,,,,,
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,followed by marking and removing PCR duplicates by PICARD tools v2.4.1,0.95,Accept,Experimental Usage,PICARD tools v2.4.1,Analysis Software,v2.4.1,,,,,,
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,Local realignment around insertions/deletions was achieved by Genome Analysis Toolkit (GATK) v3.6-0,0.95,Accept,Experimental Usage,Genome Analysis Toolkit (GATK) v3.6-0,Analysis Software,v3.6-0,,,,,,
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,Somatic single-nucleotide variants were identified using Mutect v1.1.4,0.95,Accept,Experimental Usage,Mutect v1.1.4,Analysis Software,v1.1.4,,,,,,
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,Copy Number Variants were detected and plotted using CNVkit,0.9,Accept,Experimental Usage,CNVkit,Analysis Software,,,,,,,
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,Clonality was addressed using SciClone,0.9,Accept,Experimental Usage,SciClone,Analysis Software,,,,,,,
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,Protein separation and detection were performed using an automated capillary electrophoresis system (Simple Western system and Compass software; ProteinSimple),0.85,Accept,Experimental Usage,Simple Western system,Analysis Software,,,,,,,
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,"Cells were imaged every hour for 48 hours using the Incucyte FLR imaging system (Essen Bioscience, Ann Arbor, MI)",0.85,Accept,Experimental Usage,Incucyte FLR imaging system,Analysis Software,,,,,,,
