_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,_toolName,modelSystemType,patientDiagnosis,hostStrain,tumorType,engraftmentSite,passageNumber,establishmentRate,molecularCharacterization,clinicalData,humanizationMethod,immuneSystemComponents,validationMethods
PMID:41022755,10.1038/s41467-025-63619-4,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,,JH-2-002 and JH-2-031 patient-derived xenografts (PDX) were obtained from the Johns Hopkins NF1 biospecimen repository,0.9,Accept,Experimental Usage,JH-2-002,PDX,NF1-associated tumor,NSG,,subcutaneous,,,,,,,
PMID:41022755,10.1038/s41467-025-63619-4,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,,JH-2-002 and JH-2-031 patient-derived xenografts (PDX) were obtained from the Johns Hopkins NF1 biospecimen repository,0.9,Accept,Experimental Usage,JH-2-031,PDX,NF1-associated tumor,NSG,,subcutaneous,,,,,,,
PMID:39269317,10.1158/1078-0432.CCR-24-1750,MEK Inhibitors Lead to PDGFR Pathway Upregulation and Sensitize Tumors to RAF Dimer Inhibitors in NF1-Deficient Malignant Peripheral Nerve Sheath Tumor.,,"For MPNST M3 cell line-derived xenograft and patient-derived xenograft (PDX) studies, 2 × 10^6 and 3 × 10^6 cells, respectively",0.9,Accept,Experimental Usage,patient-derived xenograft (PDX),PDX,NF1-associated MPNST,CB17 SCID,MPNST,subcutaneous,,,,,,,
PMID:38000020,10.1126/sciadv.adg8876,CDK4/6 inhibition enhances SHP2 inhibitor efficacy and is dependent upon RB function in malignant peripheral nerve sheath tumors.,,"eight PDXs [JH-2-002, JH-2-031, JH-2-079c, WU-225, WU-386, WU-545, MN-2, and MN-3-002] were generated in our laboratories",0.9,Accept,Experimental Usage,JH-2-002 PDX,PDX,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:38000020,10.1126/sciadv.adg8876,CDK4/6 inhibition enhances SHP2 inhibitor efficacy and is dependent upon RB function in malignant peripheral nerve sheath tumors.,,"eight PDXs [JH-2-002, JH-2-031, JH-2-079c, WU-225, WU-386, WU-545, MN-2, and MN-3-002] were generated in our laboratories",0.9,Accept,Experimental Usage,JH-2-031 PDX,PDX,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:38000020,10.1126/sciadv.adg8876,CDK4/6 inhibition enhances SHP2 inhibitor efficacy and is dependent upon RB function in malignant peripheral nerve sheath tumors.,,"eight PDXs [JH-2-002, JH-2-031, JH-2-079c, WU-225, WU-386, WU-545, MN-2, and MN-3-002] were generated in our laboratories",0.9,Accept,Experimental Usage,JH-2-079c PDX,PDX,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:38000020,10.1126/sciadv.adg8876,CDK4/6 inhibition enhances SHP2 inhibitor efficacy and is dependent upon RB function in malignant peripheral nerve sheath tumors.,,"eight PDXs [JH-2-002, JH-2-031, JH-2-079c, WU-225, WU-386, WU-545, MN-2, and MN-3-002] were generated in our laboratories",0.9,Accept,Experimental Usage,WU-225 PDX,PDX,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:38000020,10.1126/sciadv.adg8876,CDK4/6 inhibition enhances SHP2 inhibitor efficacy and is dependent upon RB function in malignant peripheral nerve sheath tumors.,,"eight PDXs [JH-2-002, JH-2-031, JH-2-079c, WU-225, WU-386, WU-545, MN-2, and MN-3-002] were generated in our laboratories",0.9,Accept,Experimental Usage,WU-386 PDX,PDX,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:38000020,10.1126/sciadv.adg8876,CDK4/6 inhibition enhances SHP2 inhibitor efficacy and is dependent upon RB function in malignant peripheral nerve sheath tumors.,,"eight PDXs [JH-2-002, JH-2-031, JH-2-079c, WU-225, WU-386, WU-545, MN-2, and MN-3-002] were generated in our laboratories",0.9,Accept,Experimental Usage,WU-545 PDX,PDX,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:38000020,10.1126/sciadv.adg8876,CDK4/6 inhibition enhances SHP2 inhibitor efficacy and is dependent upon RB function in malignant peripheral nerve sheath tumors.,,"eight PDXs [JH-2-002, JH-2-031, JH-2-079c, WU-225, WU-386, WU-545, MN-2, and MN-3-002] were generated in our laboratories",0.9,Accept,Experimental Usage,MN-2 PDX,PDX,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:38000020,10.1126/sciadv.adg8876,CDK4/6 inhibition enhances SHP2 inhibitor efficacy and is dependent upon RB function in malignant peripheral nerve sheath tumors.,,"eight PDXs [JH-2-002, JH-2-031, JH-2-079c, WU-225, WU-386, WU-545, MN-2, and MN-3-002] were generated in our laboratories",0.9,Accept,Experimental Usage,MN-3-002 PDX,PDX,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:41036607,10.1158/1535-7163.MCT-24-1053,Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors.,,"For the patient-derived xenograft (PDX) MPNST model, tumor tissue was implanted subcutaneously directly into NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ mice",0.9,Accept,Experimental Usage,Patient-derived xenograft (PDX) MPNST model,PDX,MPNST,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,MPNST,subcutaneous,,,,,,,
