cellLineId,organ,tissue,cellLineManifestation,cellLineGeneticDisorder,cellLineCategory,donorId,originYear,strProfile,resistance,contaminatedMisidentified,populationDoublingTime,_resourceName,_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,_toolName
41f3ec49-a3df-56a8-be13-329fac246519,Nerve,Peripheral nerve sheath,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis Type 1,Cancer cell line,,,,,,,NPcis,PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,"Murine MPNST tumor lines established from C57BL6/J Nf1+/−;Trp53+/− (NPcis) expressing GFP-Luciferase were used for the in vitro, and in vivo MPNST tumor growth experiments",0.95,Accept,Experimental Usage,NPcis cell line
3dc7da7a-91d2-56ae-af93-c1cea07d24a4,Brain,,,,Embryonic stem cell,,,,,,,BJFF.6,PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,NF1 patient heterozygous germline NF1 gene mutations were CRISPR/Cas9-engineered into a single commercially available male control human iPSC line (BJFF.6),0.9,Accept,Experimental Usage,BJFF.6
0e0df540-0cd5-5dcc-863f-c5726016888b,Nerve,Peripheral nerve sheath,,,Finite cell line,,,,,,,Normal human Schwann cells (Sciencell),PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,Normal human Schwann cells (Sciencell) were incubated in SCM (Sciencell) on PDL-coated plates,0.9,Accept,Experimental Usage,Normal human Schwann cells (Sciencell)
90ede777-afc9-5311-b681-ce6333eae4cb,Blood,,,,Finite cell line,,,,,,,TOP-10F',PMID:12057013,10.1186/1471-2164-3-13,Complex splicing pattern generates great diversity in human NF1 transcripts.,,The PCR products were cloned in the pCR2.1-TOPO-vector (Invitrogen) and transformed into TOP-10F' cells.,0.85,Accept,Experimental Usage,TOP-10F' cells
7009c225-cd7f-57a0-adb2-d1a86b112043,Breast,Mammary epithelium,Breast adenocarcinoma,,Cancer cell line,,,,,,,MCF7,PMID:38216123 | PMID:40507334,10.1016/j.molmet.2024.101876 | 10.3390/cancers17111852,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer. | Development of a Novel Biomarker Platform for Profiling Key Protein-Protein Interactions to Predict the Efficacy of BH3-Mimetic Drugs.,,"Human ER + MCF7 breast cancer cells (HTB-22), were grown in Dulbecco's modified eagle medium | H929, U266B1, U2932, MCF7, and HT229 cell lines were selected based on historic demonstrations of their dependences on corresponding BCL-2-family members",0.9,Accept,Experimental Usage,MCF7
2161e9dc-dc78-5518-a26b-b35422575e49,Bone,Calvaria,,Neurofibromatosis Type 1,Finite cell line,,,,,,,Nf1 flox/flox calvaria osteoblasts,PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,Calvaria osteoblasts were extracted by multiple collagenase/trypsine digestion from 4-day-old Nf1 flox/flox pups,0.8,Accept,Experimental Usage,Nf1 flox/flox calvaria osteoblasts
7750e324-2e59-5cb7-ba9a-71dc007bf88d,Bacterial,,,,Finite cell line,,,,,,,DH10Bac,PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Final baculovirus expression clones were transformed into DH10Bac cells (Thermo Fisher Scientific),0.9,Accept,Experimental Usage,DH10Bac cells
c3833025-8a17-54ac-a1ec-57c9531dd2ce,Bacterial,,,,Finite cell line,,,,,,,BL21(DE3),PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,E. coli expression clones were transformed into BL21(DE3) for expression,0.9,Accept,Experimental Usage,BL21(DE3)
5d82da91-d47d-578b-9ce7-5bce5028b878,Insect,,,,Finite cell line,,,,,,,Sf9,PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,baculoviruses were generated by transfection of bacmid DNA into Sf9 cells,0.9,Accept,Experimental Usage,Sf9 cells
295395e8-095c-58b4-bd92-9b5178a341a4,Insect,,,,Finite cell line,,,,,,,Tni-FNL,PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Titered viruses were used at a multiplicity of infection of 3 to infect Tni-FNL cells,0.9,Accept,Experimental Usage,Tni-FNL cells
0b3cb4ca-5e44-5145-babc-2b10416795c8,Kidney,Embryonic kidney,,Neurofibromatosis Type 1,Cancer cell line,,,,,,,NF1-null HEK293T,PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,An NF1-null HEK293T cell line was generated using CRISPR to knock out both alleles of NF1,0.95,Accept,Development,NF1-null HEK293T cell line
