resourceId,softwareName,softwareType,softwareVersion,programmingLanguage,sourceRepository,documentation,licenseType,containerized,maintainer,_resourceName,_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType
RESb5afb97f,Fiber Photometry Trace Processing,Analysis Software,,MATLAB,https://github.com/GradinaruLab/dLight1/blob/master/FP_Session_Processing2.m,,,,,Fiber Photometry Trace Processing,PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,Fiber Photometry Trace Processing Gradinaru Lab FP_Session_Processing_2.m https://github.com/GradinaruLab/dLight1/blob/master/FP_Session_Processing2.m,0.9,Accept,Experimental Usage
RES63d689ad,Novoalign tool v3.02.06,Analysis Software,v3.02.06,,,,,,,Novoalign tool v3.02.06,PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,Sequence reads were mapped to the human reference genome (GRCh37/hg19) using Novoalign tool v3.02.06,0.95,Accept,Experimental Usage
RES7dbfc5c2,PICARD tools v2.4.1,Analysis Software,v2.4.1,,,,,,,PICARD tools v2.4.1,PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,followed by marking and removing PCR duplicates by PICARD tools v2.4.1,0.95,Accept,Experimental Usage
RESe10f4cc0,Genome Analysis Toolkit (GATK) v3.6-0,Analysis Software,v3.6-0,,,,,,,Genome Analysis Toolkit (GATK) v3.6-0,PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,Local realignment around insertions/deletions was achieved by Genome Analysis Toolkit (GATK) v3.6-0,0.95,Accept,Experimental Usage
RES50c0898a,Mutect v1.1.4,Analysis Software,v1.1.4,,,,,,,Mutect v1.1.4,PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,Somatic single-nucleotide variants were identified using Mutect v1.1.4,0.95,Accept,Experimental Usage
RES38b1e8e5,SciClone,Analysis Software,,,,,,,,SciClone,PMID:32642734 | PMID:32369930,10.1093/noajnl/vdz026 | 10.3390/genes11050499,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1. | Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,Clonality was addressed using SciClone | SciClone and ClonEvol were utilized to attempt to perform a phylogeny inference,0.9,Accept,Experimental Usage
RES9faca75d,LMSz,Analysis Software,,,,,,,,LMSz,PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,,...we implemented a recently described method called 'LMSz' to construct NF1-specific head circumference growth charts...,0.9,Accept,Experimental Usage
RES00ee3879,gamlssTools,Package/Library,,R,https://github.com/BGDlab/gamlssTools,,,,,gamlssTools,PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,,...GAMLSS model visualization was performed using customized R functions (https://github.com/BGDlab/gamlssTools)...,0.9,Accept,Experimental Usage
RES0a319b7b,AXION Biosystems integrated studio (AxIS) version 2.5.1,Analysis Software,2.5.1,,,,,,,AXION Biosystems integrated studio (AxIS) version 2.5.1,PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,All neurons were recorded for 3 min at a 4.5 standard deviation threshold level and 5000 Hz as a digital filter using AXION Biosystems integrated studio (AxIS) version 2.5.1 software,0.95,Accept,Experimental Usage
RES3d30cf7b,Offline sorter x64 version 4,Analysis Software,4,,,,,,,Offline sorter x64 version 4,PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,Representative traces of action potentials were extracted using the AXION Biosystems neural metric tool and Offline sorter x64 version 4 software,0.9,Accept,Experimental Usage
RES3cc070ad,"Partek Flow software, version 10.0",Analysis Software,10.0,,,,,,,"Partek Flow software, version 10.0",PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,"The analysis for this paper was generated using Partek Flow software, version 10.0 using publicly available datasets",0.95,Accept,Experimental Usage
RESd6351c9b,STAR version 2.7.8a,Analysis Software,2.7.8a,,,,,,,STAR version 2.7.8a,PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,RNA-seq reads were aligned to the Ensembl release 100 top-level assembly with STAR version 2.7.8a,0.95,Accept,Experimental Usage
