resourceId,resourceName,resourceType,synonyms,rrid,description,aiSummary,usageRequirements,howToAcquire,animalModelId,antibodyId,cellLineId,geneticReagentId,patientDerivedModelId,advancedCellularModelId,computationalToolId,clinicalAssessmentToolId,biobankId,_pmid,_doi,_publicationTitle,_year,_confidence,_toolType
RES7826f166,3D rBM overlay model,Advanced Cellular Model,,,,,,,,,,,,RES7826f166,,,,PMID:39061138,10.3390/cancers16142498,A Fibroblast-Derived Secretome Stimulates the Growth and Invasiveness of 3D Plexiform Neurofibroma Spheroids.,,0.85,advanced_cellular_model
RESe4a3a14d,cNF organoids,Advanced Cellular Model,,,,,,,,,,,,RESe4a3a14d,,,,PMID:38744290,10.1016/j.crmeth.2024.100772,A platform for rapid patient-derived cutaneous neurofibroma organoid establishment and screening.,,0.95,advanced_cellular_model
REScbf4cfbd,spheroid culture system,Advanced Cellular Model,,,,,,,,,,,,REScbf4cfbd,,,,PMID:36730269,10.1371/journal.pone.0277305,Identification of therapeutic sensitivities in a spheroid drug combination screen of Neurofibromatosis Type I associated High Grade Gliomas.,,0.9,advanced_cellular_model
RES02bbf891,TAME chips,Advanced Cellular Model,,,,,,,,,,,,RES02bbf891,,,,PMID:40862755,10.3390/cells14161276,Fibroblasts Attenuate Anti-Tumor Drug Efficacy in Tumor Cells via Paracrine Interactions with Tumor Cells in 3D Plexiform Neurofibroma Cultures.,,0.85,advanced_cellular_model
RES60a30c1c,129T2/SvEmsJ::C57Bl/6NTac Nf1+/- and Nf1+/+,Animal Model,,,,,,,RES60a30c1c,,,,,,,,,PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.95,animal_model
RES73ca456b,2.3-kb α1(I) collagen-cre Nf1 flox/flox,Animal Model,,,,,,,RES73ca456b,,,,,,,,,PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,0.85,animal_model
RES25632977,4/FM7; T80-Gal4 y w Mer4,Animal Model,,,,,,,RES25632977,,,,,,,,,PMID:24595234,10.1371/journal.pone.0090853,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,,0.85,animal_model
RES53af612e,9a−/9a− Nf1,Animal Model,,,,,,,RES53af612e,,,,,,,,,PMID:25917366,10.1038/mp.2015.48,HCN channels are a novel therapeutic target for cognitive dysfunction in Neurofibromatosis type 1.,,0.9,animal_model
RES6701a540,C57BL6/J Nf1+/−;Trp53+/−,Animal Model,,,,,,,RES6701a540,,,,,,,,,PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,0.95,animal_model
RES8010fe38,cisNP,Animal Model,,,,,,,RES8010fe38,,,,,,,,,PMID:38502231 | PMID:34010628,10.1172/JCI176748 | 10.1016/j.stem.2021.04.029,STING activation reprograms the microenvironment to sensitize NF1-related malignant peripheral nerve sheath tumors for immunotherapy. | Stem-like cells drive NF1-associated MPNST functional heterogeneity and tumor progression.,,0.9,animal_model
RES67640ce9,"Dhh::Cre, Nf1fl/fl, Pten",Animal Model,,,,,,,RES67640ce9,,,,,,,,,PMID:41036607,10.1158/1535-7163.MCT-24-1053,Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors.,,0.9,animal_model
RES3195007c,DhhCre,Animal Model,,,,,,,RES3195007c,,,,,,,,,PMID:38127282,10.1158/1078-0432.CCR-23-2548,Spatial Gene-Expression Profiling Unveils Immuno-oncogenic Programs of NF1-Associated Peripheral Nerve Sheath Tumor Progression.,,0.85,animal_model
RES8b607c44,DhhCre;Nf1f/f;Luciferase,Animal Model,,,,,,,RES8b607c44,,,,,,,,,PMID:40723243,10.3390/cancers17142359,The Combination of HSP90 Inhibitors and Selumetinib Reinforces the Inhibitory Effects on Plexiform Neurofibromas.,,0.85,animal_model
RES41704967,DhhCre;Nf1fl/fl,Animal Model,,,,,,,RES41704967,,,,,,,,,PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,0.95,animal_model
RES51beed64,H7;Nf1mut,Animal Model,,,,,,,RES51beed64,,,,,,,,,PMID:37140985,10.1172/JCI168227,Basement membrane proteins in extracellular matrix characterize NF1 neurofibroma development and response to MEK inhibitor.,,0.9,animal_model
RESedb243f5,hGFAP-cre,Animal Model,,,,,,,RESedb243f5,,,,,,,,,PMID:25535838,10.7554/eLife.05151,Transient inhibition of the ERK pathway prevents cerebellar developmental defects and improves long-term motor functions in murine models of neurofibromatosis type 1.,,0.9,animal_model
RESc188abac,L7-cre,Animal Model,,,,,,,RESc188abac,,,,,,,,,PMID:25535838,10.7554/eLife.05151,Transient inhibition of the ERK pathway prevents cerebellar developmental defects and improves long-term motor functions in murine models of neurofibromatosis type 1.,,0.9,animal_model
RESc5783883,Math1-cre,Animal Model,,,,,,,RESc5783883,,,,,,,,,PMID:25535838,10.7554/eLife.05151,Transient inhibition of the ERK pathway prevents cerebellar developmental defects and improves long-term motor functions in murine models of neurofibromatosis type 1.,,0.9,animal_model
RES58594ca6,Nestin-creER,Animal Model,,,,,,,RES58594ca6,,,,,,,,,PMID:25535838,10.7554/eLife.05151,Transient inhibition of the ERK pathway prevents cerebellar developmental defects and improves long-term motor functions in murine models of neurofibromatosis type 1.,,0.9,animal_model
RES5c29d488,Nf1 c.5425 C > T ; Arg1809Cys,Animal Model,,,,,,,RES5c29d488,,,,,,,,,PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,0.95,animal_model
RES9aecdcd6,Nf1 f/neo ; hGFAP-Cre,Animal Model,,,,,,,RES9aecdcd6,,,,,,,,,PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,0.95,animal_model
RES4cf34317,Nf1 fcr,Animal Model,,,,,,,RES4cf34317,,,,,,,,,PMID:21681782,10.1002/ajh.22035,Nf1 mutant mice with p19ARF gene loss develop accelerated hematopoietic disease resembling acute leukemia with a variable phenotype.,,0.95,animal_model
RESb8ec4fc0,NF1 fl/fl Tp53 fl/fl Eed fl/fl;Dhh-Cre,Animal Model,,,,,,,RESb8ec4fc0,,,,,,,,,PMID:36322658,10.1126/sciadv.abo5442,Single-cell multiomics identifies clinically relevant mesenchymal stem-like cells and key regulators for MPNST malignancy.,,0.9,animal_model
RESd390084f,Nf1 flox,Animal Model,,,,,,,RESd390084f,,,,,,,,,PMID:33078583 | PMID:21681782 | PMID:21551250 | PMID:21726432 | PMID:32839340 | PMID:18242513,10.1002/jcsm.12632 | 10.1002/ajh.22035 | 10.1158/0008-5472.CAN-10-4577 | 10.1186/1741-7015-9-82 | 10.1073/pnas.2008391117 | 10.1016/j.ccr.2008.01.003,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis. | Nf1 mutant mice with p19ARF gene loss develop accelerated hematopoietic disease resembling acute leukemia with a variable phenotype. | Susceptible stages in Schwann cells for NF1-associated plexiform neurofibroma development. | MIA is a potential biomarker for tumour load in neurofibromatosis type 1. | Brain-wide structural and functional disruption in mice with oligodendrocyte-specific | The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,,0.95,animal_model
RESe1e3fe79,Nf1 flox/flox ; Hoxb7-Cre,Animal Model,,,,,,,RESe1e3fe79,,,,,,,,,PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,0.95,animal_model
RESd6ee208c,Nf1 flox/flox; GFAP-Cre,Animal Model,,,,,,,RESd6ee208c,,,,,,,,,PMID:21216928 | PMID:26883872 | PMID:20551058,10.1158/1535-7163.MCT-10-0654 | 10.1016/j.jprot.2016.02.004 | 10.1158/0008-5472.CAN-09-3769,Interpreting mammalian target of rapamycin and cell growth inhibition in a genetically engineered mouse model of Nf1-deficient astrocytes. | 3-D imaging mass spectrometry of protein distributions in mouse Neurofibromatosis 1 (NF1)-associated optic glioma. | Cyclic AMP suppression is sufficient to induce gliomagenesis in a mouse model of neurofibromatosis-1.,,0.95,animal_model
RES9a06a62f,"Nf1 flox/mut; GFAP-Cre, Nf1+/− GFAP CKO",Animal Model,,,,,,,RES9a06a62f,,,,,,,,,PMID:20554030,10.1016/j.jneuroim.2010.05.002,CXCL12 alone is insufficient for gliomagenesis in Nf1 mutant mice.,,0.95,animal_model
