_pmid,_doi,_publicationTitle,_year,_toolName,_toolType,_usageType,usageId,publicationId,resourceId
PMID:36730269,10.1371/journal.pone.0277305,Identification of therapeutic sensitivities in a spheroid drug combination screen of Neurofibromatosis Type I associated High Grade Gliomas.,,spheroid culture system,advanced_cellular_models,Experimental Usage,265a25f9-0d17-5538-a707-13fdbdc85b74,10088f76-3416-594d-a08b-efff5ad7f29f,4f95c143-9441-51a0-ab5b-e8f5b7cdac0f
PMID:40862755,10.3390/cells14161276,Fibroblasts Attenuate Anti-Tumor Drug Efficacy in Tumor Cells via Paracrine Interactions with Tumor Cells in 3D Plexiform Neurofibroma Cultures.,,TAME chips,advanced_cellular_models,Experimental Usage,cc1f70db-2f9f-5557-aab4-f37af852cf7b,27a13990-aba5-5e01-8feb-c90d3acf8e8a,14313702-6f1d-53aa-9e69-b743cca3438d
PMID:39061138,10.3390/cancers16142498,A Fibroblast-Derived Secretome Stimulates the Growth and Invasiveness of 3D Plexiform Neurofibroma Spheroids.,,3D rBM overlay model,advanced_cellular_models,Experimental Usage,0652498a-43d2-5724-a0a3-327f8af94e8f,1753ccb3-b4f9-5369-9ae3-20e48a267351,a2e8a2a7-8ca9-55f3-a360-83c729440728
PMID:38744290,10.1016/j.crmeth.2024.100772,A platform for rapid patient-derived cutaneous neurofibroma organoid establishment and screening.,,cNF organoids,advanced_cellular_models,Development,09319e0f-5268-5479-823b-603ba4ab9796,c85145d2-03f6-5ed2-971c-370356cf4a08,fa394cc7-9f63-5714-af1b-4240eaa62112
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,129T2/SvEmsJ::C57Bl/6NTac Nf1+/- and Nf1+/+,animal_models,Experimental Usage,07348120-bd1a-5215-8860-96911519f612,677306bb-4529-56a9-9491-9481a23b9c60,9c816cb8-6187-5283-95bb-c35bca36e57a
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,C57BL6/J Nf1+/−;Trp53+/−,animal_models,Experimental Usage,7c46eddf-a1ee-5eda-b857-06ae05950835,4c500643-3c43-5c39-a015-aae7aacba58e,92d2e667-6bf8-5dcc-9f16-9a6f2c08394a
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,Nf1 c.5425 C > T ; Arg1809Cys,animal_models,Experimental Usage,e3d42c70-413e-5603-9212-ebd59a3553a9,686ba2dd-21f7-5c0f-9c35-4a10134fe88f,59983fe4-e778-519b-b91e-eb1331dfc1ad
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,R681X Nf1,animal_models,Experimental Usage,5795eea1-c6bd-50c5-87ab-65476c6564d7,686ba2dd-21f7-5c0f-9c35-4a10134fe88f,4027ec9e-7379-583a-99a1-69db7e0df51e
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,Nf1 flox/flox ; Hoxb7-Cre,animal_models,Experimental Usage,baf08612-a6a8-58b4-af25-7ca843967fc6,686ba2dd-21f7-5c0f-9c35-4a10134fe88f,0e503f20-aacd-5634-a510-d313b55dc81f
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,Nf1 f/neo ; hGFAP-Cre,animal_models,Experimental Usage,d226f6ff-18b5-58cb-923c-e0857891a167,686ba2dd-21f7-5c0f-9c35-4a10134fe88f,32bf181d-ea22-556e-b56b-cc54d16a4ab7
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,Nf1-IF,animal_models,Experimental Usage,6e25bae2-5a5a-5630-bffc-ac8fed88ec82,abb89502-7575-51d1-9884-ddca97a2d316,9ef4e72f-27a8-5a62-898e-da5059be3278
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,Nf1-PS,animal_models,Experimental Usage,f172eede-ba76-5868-9a24-af16894d7830,abb89502-7575-51d1-9884-ddca97a2d316,db1873f0-9852-563e-b595-a46452d0b540
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,Nf1-IFPS,animal_models,Experimental Usage,6bfa5b4f-c39c-5f39-9c22-68bd2b62719d,abb89502-7575-51d1-9884-ddca97a2d316,badc395b-6692-5782-b3e4-00d8fd731040
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,Nf1(ob) (-/-),animal_models,Experimental Usage,65bdcb27-8dea-5744-b95f-b09b6bc687c0,6b5c6af2-fd8f-50bb-be17-0d6f652bf2e4,b7cbe81f-e9db-5fab-9564-521b0c878ecf
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,2.3-kb α1(I) collagen-cre Nf1 flox/flox,animal_models,Experimental Usage,b4493abe-45f7-51b0-ab51-76391ebbaec4,6b5c6af2-fd8f-50bb-be17-0d6f652bf2e4,56436cb7-cfed-5976-9200-23f810a66b9c
