pmid,title,abstract,has_nf_tools,abstract_screening_reasoning
PMID:10339466,Myeloid malignancies induced by alkylating agents in Nf1 mice.,"Myeloid malignancies induced by alkylating agents in Nf1 mice.  Mahgoub N(1), Taylor BR, Le Beau MM, Gratiot M, Carlson KM, Atwater SK, Jacks T,  Shannon KM.  Author information: (1)Departments of Pediatrics and Laboratory Medicine, University of California,  San Francisco, CA, USA.  Therapy-related acute myeloid leukemia and myelodysplastic syndrome (t-AML and  MDS) are severe late complications of treatment with genotoxic chemotherapeutic  agents. Children with neurofibromatosis type 1 (NF1) are predisposed to  malignant myeloid disorders that are associated with inactivation of the NF1  tumor suppressor gene in the leukemic clone. Recent clinical data suggest that  NF1 might be also associated with an increased risk of t-AML after treatment  with alkyating agents. To test this hypothesis, we administered cyclophosphamide  or etoposide to cohorts of wild-type and heterozygous Nf1 knockout mice.  Cyclophosphamide exposure cooperated strongly with heterozygous inactivation of  Nf1 in myeloid leukemogenesis, while etoposide did not. Somatic loss of the  normal Nf1 allele correlated with clinical disease and was more common in 129/Sv  mice than in 129/Sv x C57BL/6 animals. Leukemic cells showing loss of  heterozygosity at Nf1 retained a structural allele on each chromosome 11  homolog. These studies establish a novel in vivo model of alkylator-induced  myeloid malignancy that will facilitate mechanistic and translational studies.  PMID: 10339466 [Indexed for MEDLINE]",False,No specific research tool mentioned
PMID:10383727,"The Nf1 tumor suppressor regulates mouse skin wound healing, fibroblast proliferation, and collagen deposited by fibroblasts.","The Nf1 tumor suppressor regulates mouse skin wound healing, fibroblast  proliferation, and collagen deposited by fibroblasts.  Atit RP(1), Crowe MJ, Greenhalgh DG, Wenstrup RJ, Ratner N.  Author information: (1)Division of Biology, Children's Hospital Research Foundation, Cincinnati,  Ohio, USA.  Neurofibromatosis type 1 patients develop peripheral nerve tumors  (neurofibromas) composed mainly of Schwann cells and fibroblasts, in an abundant  collagen matrix produced by fibroblasts. Trauma has been proposed to trigger  neurofibroma formation. To test if loss of the neurofibromatosis type 1 gene  (Nf1) compromises fibroblast function in vivo following trauma, skin wounding  was performed in Nf1 knockout mice. The pattern and amount of collagen-rich  granulation bed tissue, manufactured by fibroblasts, was grossly abnormal in 60%  of Nf1+/- wounds. Nf1 mutant fibroblasts showed cell autonomous abnormalities in  collagen deposition in vitro that were not mimicked by Ras activation in  fibroblasts, even though some Nf1 effects are mediated through Ras. Nf1+/- skin  wound fibroblasts also proliferated past the normal wound maturation phase; this  in vivo effect was potentiated by muscle injury. In vitro, Nf1+/- fibroblasts  showed higher proliferation in 10% serum than Nf1+/+ fibroblasts.  Macrophage-conditioned media or epidermal growth factor potentiated Nf1+/-  fibroblast proliferation in vitro, demonstrating abnormal response of mutant  fibroblasts to wound cytokines. Thus Nf1 is a key regulator of fibroblast  responses to injury, and Nf1 mutation in mouse fibroblasts causes abnormalities  characteristic of human neurofibromas.  DOI: 10.1046/j.1523-1747.1999.00609.x PMCID: PMC2854506 PMID: 10383727 [Indexed for MEDLINE]",False,No specific research tool mentioned
PMID:10433955,Molecular genetic analysis of ependymal tumors. NF2 mutations and chromosome 22q loss occur preferentially in intramedullary spinal ependymomas.,"Molecular genetic analysis of ependymal tumors. NF2 mutations and chromosome 22q  loss occur preferentially in intramedullary spinal ependymomas.  Ebert C(1), von Haken M, Meyer-Puttlitz B, Wiestler OD, Reifenberger G, Pietsch  T, von Deimling A.  Author information: (1)Department of Neuropathology, University of Bonn Medical Center, Bonn  Charité, Humboldt University, Berlin, Germany.  Ependymal tumors are heterogeneous with regard to morphology, localization, age  at first clinical manifestation, and prognosis. Several molecular alterations  have been reported in these tumors, including allelic losses on chromosomes 10,  17, and 22 and mutations in the NF2 gene. However, in contrast to astrocytic  gliomas, no consistent molecular alterations have been associated with distinct  types of ependymal tumors. To evaluate whether morphological subsets of  ependymomas are characterized by specific genetic lesions, we analyzed a series  of 62 ependymal tumors, including myxopapillary ependymomas, subependymomas,  ependymomas, and anaplastic ependymomas, for allelic losses on chromosome arms  10q and 22q and mutations in the PTEN and NF2 genes. Allelic losses on 10q and  22q were detected in 5 of 56 and 12 of 54 tumors, respectively. Six ependymomas  carried somatic NF2 mutations, whereas no mutations were detected in the PTEN  gene. All six of the NF2 mutations occurred in ependymomas of WHO grade II and  were exclusively observed in tumors with a spinal localization (P = 0.0063).  These findings suggest that a considerable fraction of spinal ependymomas are  associated with molecular events involving chromosome 22 and that mutations in  the NF2 gene may be of primary importance for their genesis. Furthermore, our  data suggest that the more favorable clinical course of spinal ependymomas may  relate to a distinct pattern of genetic alterations different from that of  intracerebral ependymomas.  DOI: 10.1016/S0002-9440(10)65158-9 PMCID: PMC1866851 PMID: 10433955 [Indexed for MEDLINE]",False,"Molecular genetic analysis, no tool development"
PMID:10567424,Interdomain interaction of merlin isoforms and its influence on intermolecular binding to NHE-RF.,"Interdomain interaction of merlin isoforms and its influence on intermolecular  binding to NHE-RF.  Gonzalez-Agosti C(1), Wiederhold T, Herndon ME, Gusella J, Ramesh V.  Author information: (1)Molecular Neurogenetics Unit, Massachusetts General Hospital, Charlestown,  Massachusetts 02129, USA.  Merlin, the neurofibromatosis 2 tumor suppressor protein, has two major isoforms  with alternate C termini and is related to the ERM (ezrin, radixin, moesin)  proteins. Regulation of the ERMs involves intramolecular and/or intermolecular  head-to-tail associations between family members. We have determined whether  merlin undergoes similar interactions, and our findings indicate that the C  terminus of merlin isoform 1 is able to associate with its N-terminal domain in  a head-to-tail fashion. However, the C terminus of isoform 2 lacks this  property. Similarly, the N terminus of merlin can also associate with C terminus  of moesin. We have also explored the effect of merlin self-association on  binding to the regulatory cofactor of Na(+)-H(+) exchanger (NHE-RF), an  interacting protein for merlin and the ERMs. Merlin isoform 2 captures more  NHE-RF than merlin isoform 1 in affinity binding assays, suggesting that in  full-length merlin isoform 1, the NHE-RF binding site is masked because of the  self-interactions of merlin. Treatment with a phospholipid known to decrease  self-association of ERMs enhances the binding of merlin isoform 1 to NHE-RF.  Thus, although isoform 1 resembles the ERM proteins, which transition between  inactive (closed) and active (open) states, isoform 2 is distinct, existing only  in the active (open) state and presumably constitutively more available for  interaction with other protein partners.  DOI: 10.1074/jbc.274.48.34438 PMID: 10567424 [Indexed for MEDLINE]",False,"Protein interaction study, no tool development"
PMID:10591653,Mouse tumor model for neurofibromatosis type 1.,"Mouse tumor model for neurofibromatosis type 1.  Vogel KS(1), Klesse LJ, Velasco-Miguel S, Meyers K, Rushing EJ, Parada LF.  Author information: (1)Center for Developmental Biology and Department of Pathology, University of  Texas Southwestern Medical Center, 6000 Harry Hines Blvd., Dallas, TX  75235-9133, USA.  Neurofibromatosis type 1 (NF1) is an autosomal dominant disorder characterized  by increased incidence of benign and malignant tumors of neural crest origin.  Mutations that activate the protooncogene ras, such as loss of Nf1, cooperate  with inactivating mutations at the p53 tumor suppressor gene during malignant  transformation. One hundred percent of mice harboring null Nf1 and p53 alleles  in cis synergize to develop soft tissue sarcomas between 3 and 7 months of age.  These sarcomas exhibit loss of heterozygosity at both gene loci and express  phenotypic traits characteristic of neural crest derivatives and human NF1  malignancies.  DOI: 10.1126/science.286.5447.2176 PMCID: PMC3079436 PMID: 10591653 [Indexed for MEDLINE]",True,Mouse tumor model development
PMID:10595915,Deletions of the INK4A gene occur in malignant peripheral nerve sheath tumors but not in neurofibromas.,"Deletions of the INK4A gene occur in malignant peripheral nerve sheath tumors  but not in neurofibromas.  Kourea HP(1), Orlow I, Scheithauer BW, Cordon-Cardo C, Woodruff JM.  Author information: (1)Department of Pathology, Memorial Sloan-Kettering Cancer Center, New York,  New York 10021, USA.  The INK4A gene, a candidate tumor suppressor gene located on chromosome 9p21,  encodes two protein products, p16 and p19(ARF). p16 is a negative cell cycle  regulator capable of arresting cells in the G1 phase by inhibiting  cyclin-dependent kinases 4 (Cdk4) and 6 (Cdk6), thus preventing pRB  phosphorylation. p19(ARF) prevents Mdm2-mediated neutralization of p53. Loss of  INK4A is a frequent molecular alteration involved in the genesis of several  neoplasms, including tumors of neuroectodermal origin. This study investigated  the frequency of INK4A gene alterations in a series of malignant peripheral  nerve sheath tumors (MPNSTs) and neurofibromas (NFs). INK4A gene and the  p19(ARF)-specific exon 1beta were studied in 11 MPNST samples from 8 patients  and 7 neurofibromas. Presence of INK4A deletions was assessed by Southern  blotting hybridization and by a multiplex polymerase chain reaction (mPCR).  INK4A point mutations were examined by single-strand conformation polymorphism  (SSCP) and sequencing. The p16 promoter methylation status was determined by PCR  amplification of bisulfite-treated DNA. Homozygous deletions of exon 2, thus  affecting both p16 and p19(ARF), were identified in MPNSTs from 4 of 8 patients.  Deletions, mutations, or silencing by methylation were not identified in the  neurofibromas analyzed. Based on our results, we conclude that INK4A deletions  are frequent events in MPNSTs and may participate in tumor progression.  Silencing of p16 by methylation, which occurs often in several tumor types, is  uncommon in MPNSTs.  DOI: 10.1016/S0002-9440(10)65504-6 PMCID: PMC1866948 PMID: 10595915 [Indexed for MEDLINE]",False,"Genetic analysis, no tool development"
PMID:10595919,Expression of p27(kip) and other cell cycle regulators in malignant peripheral nerve sheath tumors and neurofibromas: the emerging role of p27(kip) in malignant transformation of neurofibromas.,"Expression of p27(kip) and other cell cycle regulators in malignant peripheral  nerve sheath tumors and neurofibromas: the emerging role of p27(kip) in  malignant transformation of neurofibromas.  Kourea HP(1), Cordon-Cardo C, Dudas M, Leung D, Woodruff JM.  Author information: (1)Department of Pathology, Memorial Sloan-Kettering Cancer Center, New York,  New York, USA. kouma@otenet.gr  There is little information regarding the status of cell cycle regulators in  malignant peripheral nerve sheath tumors (MPNSTs) and neurofibromas (NFs). In  this study, we investigated patterns of expression of p53 and pRB,  cyclin-dependent kinase inhibitors (CKIs) p21 and p27, as well as cyclins D1 and  E, in a cohort of 35 well-characterized MPNSTs and 16 NFs. These phenotypes were  correlated with proliferative index, as assessed by Ki-67, as well as  clinicopathological parameters of poor outcome. p53 nuclear overexpression was  found in 10 of 35 (29%) MPNSTs, and it was lacking in NFs (P = 0.02). There were  no differences in the patterns of expression of pRB, cyclin D1, and p21 between  MPNSTs and NFs. However, p27 nuclear expression was present in most NFs, but it  was absent in the majority of MPNSTs, which displayed cytoplasmic staining (P <  0.001). Nuclear cyclin E expression was more pronounced in MPNSTs than in NFs.  We observed inverse patterns of expression for nuclear p27 and nuclear cyclin E  expression. The staining profiles of cytoplasmic p27 and nuclear cyclin E  expression were found to be statistically associated (P = 0.01). High Ki-67  expression was found in 20 of 34 (59%) MPNSTs but was absent in NFs (P < 0.001).  Furthermore, detection of cytoplasmic p27 expression was found to be a  prognostic factor for poor survival in MPNSTs (P = 0.03, relative risk = 2.4).  DOI: 10.1016/S0002-9440(10)65508-3 PMCID: PMC1866917 PMID: 10595919 [Indexed for MEDLINE]",False,"Cell cycle regulation study, no tool development"
PMID:10620616,Genetic and biochemical evidence that haploinsufficiency of the Nf1 tumor suppressor gene modulates melanocyte and mast cell fates in vivo.,"Genetic and biochemical evidence that haploinsufficiency of the Nf1 tumor  suppressor gene modulates melanocyte and mast cell fates in vivo.  Ingram DA(1), Yang FC, Travers JB, Wenning MJ, Hiatt K, New S, Hood A, Shannon  K, Williams DA, Clapp DW.  Author information: (1)Department of Pediatrics, Indiana University School of Medicine,  Indianapolis, Indiana 46202, USA.  Neurofibromatosis type 1 (NF1) is a common autosomal-dominant disorder  characterized by cutaneous neurofibromas infiltrated with large numbers of mast  cells, melanocyte hyperplasia, and a predisposition to develop malignant  neoplasms. NF1 encodes a GTPase activating protein (GAP) for Ras. Consistent  with Knudson's ""two hit"" model of tumor suppressor genes, leukemias and  malignant solid tumors in NF1 patients frequently demonstrate somatic loss of  the normal NF1 allele. However, the phenotypic and biochemical consequences of  heterozygous inactivation of Nf1 are largely unknown. Recently neurofibromin,  the protein encoded by NF1, was shown to negatively regulate Ras activity in  Nf1-/- murine myeloid hematopoietic cells in vitro through the c-kit receptor  tyrosine kinase (dominant white spotting, W). Since the W and Nf1 locus appear  to function along a common developmental pathway, we generated mice with  mutations at both loci to examine potential interactions in vivo. Here, we show  that haploinsufficiency at Nf1 perturbs cell fates in mast cells in vivo, and  partially rescues coat color and mast cell defects in W(41) mice.  Haploinsufficiency at Nf1 also increased mast cell proliferation, survival, and  colony formation in response to Steel factor, the ligand for c-kit. Furthermore,  haploinsufficiency was associated with enhanced Ras-mitogen-activated protein  kinase activity, a major downstream effector of Ras, via wild-type and mutant  (W(41)) c-kit receptors. These observations identify a novel interaction between  c-kit and neurofibromin in vivo, and offer experimental evidence that  haploinsufficiency of Nf1 alters both cellular and biochemical phenotypes in two  cell lineages that are affected in individuals with NF1. Collectively, these  data support the emerging concept that heterozygous inactivation of tumor  suppressor genes may have profound biological effects in multiple cell types.  DOI: 10.1084/jem.191.1.181 PMCID: PMC2195790 PMID: 10620616 [Indexed for MEDLINE]",False,"Genetic and biochemical study, no tool development"
PMID:10627474,Inhibition of juvenile myelomonocytic leukemia cell growth in vitro by farnesyltransferase inhibitors.,"Inhibition of juvenile myelomonocytic leukemia cell growth in vitro by  farnesyltransferase inhibitors.  Emanuel PD(1), Snyder RC, Wiley T, Gopurala B, Castleberry RP.  Author information: (1)Departments of Medicine and Pediatrics, Divisions of Hematology/Oncology,  Comprehensive Cancer Center, University of Alabama at Birmingham, Birmingham, AL  35294-3300, USA. peter.emanuel@ccc.uab.edu  Juvenile myelomonocytic leukemia (JMML) is an early childhood disease for which  there is no effective therapy. Therapy with 13-cis retinoic acid or low-dose  chemotherapy can induce some responses, but neither mode is curative. Stem cell  transplantation can produce lasting remissions but is hampered by high rates of  relapse. The pathogenesis of JMML involves deregulated cytokine signal  transduction through the Ras signaling pathway, with resultant selective  hypersensitivity of JMML cells to granulocyte-macrophage colony-stimulating  factor (GM-CSF). A JMML mouse model, achieved through homozygous deletion of the  neurofibromatosis gene, confirmed the involvement of deregulated Ras in JMML  pathogenesis. With this pathogenetic knowledge, mechanism-based treatments are  now being developed and tested. Ras is critically dependent on a prenylation  reaction for its signal transduction abilities. Farnesyltransferase inhibitors  are compounds that were developed specifically to block the prenylation of Ras.  Two of these compounds, L-739,749 and L-744, 832, were tested for their ability  to inhibit spontaneous JMML granulocyte-macrophage colony growth. Within a dose  range of 1 to 10 micromol/L, each compound demonstrated dose-dependent  inhibition of JMML colony growth. An age-matched patient with a different  disease and GM-CSF-stimulated normal adult marrow cells also demonstrated  dose-dependent inhibitory effects on colony growth, but they were far less  sensitive to these compounds than JMML hematopoietic progenitors. Even if the  addition of L-739,749 were delayed for 5 days, significant inhibitory effects  would still show in JMML cultures. These results demonstrate that a putative  Ras-blocking compound can have significant growth inhibitory effects in vitro,  perhaps indicating a potential treatment for JMML. (Blood. 2000;95:639-645)  PMID: 10627474 [Indexed for MEDLINE]",False,No research tool mentioned
PMID:10633134,A search for evidence of somatic mutations in the NF1 gene.,"A search for evidence of somatic mutations in the NF1 gene.  John AM(1), Ruggieri M, Ferner R, Upadhyaya M.  Author information: (1)Institute of Medical Genetics, University College of Medicine of Wales, Heath  Park, Cardiff CF4 4XN, UK.  Neurofibromatosis type I (NF1) is an autosomal dominant disorder affecting 1 in  3000 people. The NF1 gene is located on chromosome 17q11.2, spans 350 kb of  genomic DNA, and contains 60 exons. A major phenotypic feature of the disease is  the widespread occurrence of benign dermal and plexiform neurofibromas. Genetic  and biochemical data support the hypothesis that NF1 acts as a tumour suppressor  gene. Molecular analysis of a number of NF1 specific tumours has shown the  inactivation of both NF1 alleles during tumourigenesis, in accordance with  Knudson's ""two hit"" hypothesis. We have studied 82 tumours from 45 NF1 patients.  Two separate strategies were used in this study to search for the somatic  changes involved in the formation of NF1 tumours. First, evidence of loss of  heterozygosity (LOH) of the NF1 gene region was investigated, and, second, a  screen for the presence of sequence alterations was conducted on a large panel  of DNA derived from matched blood/tumour pairs. In this study, the largest of  its kind to date, we found that 12% of the tumours (10/82) exhibited LOH;  previous studies have detected LOH in 3-36% of the neurofibromas examined. In  addition, an SSCP/HA mutation screen identified five novel NF1 germline and two  somatic mutations. In a plexiform neurofibroma from an NF1 patient, mutations in  both NF1 alleles have been characterised.  DOI: 10.1136/jmg.37.1.44 PMCID: PMC1734445 PMID: 10633134 [Indexed for MEDLINE]",False,"Mutation screening, no tool development"
