pmid,title,verdict,reasoning
PMID:10339466,Myeloid malignancies induced by alkylating agents in Nf1 mice.,EXCLUDE,No specific research tool mentioned
PMID:10383727,"The Nf1 tumor suppressor regulates mouse skin wound healing, fibroblast proliferation, and collagen deposited by fibroblasts.",EXCLUDE,No specific research tool mentioned
PMID:10433955,Molecular genetic analysis of ependymal tumors. NF2 mutations and chromosome 22q loss occur preferentially in intramedullary spinal ependymomas.,EXCLUDE,"Molecular genetic analysis, no tool development"
PMID:10567424,Interdomain interaction of merlin isoforms and its influence on intermolecular binding to NHE-RF.,EXCLUDE,"Protein interaction study, no tool development"
PMID:10591653,Mouse tumor model for neurofibromatosis type 1.,INCLUDE,Mouse tumor model development
PMID:10595915,Deletions of the INK4A gene occur in malignant peripheral nerve sheath tumors but not in neurofibromas.,EXCLUDE,"Genetic analysis, no tool development"
PMID:10595919,Expression of p27(kip) and other cell cycle regulators in malignant peripheral nerve sheath tumors and neurofibromas: the emerging role of p27(kip) in malignant transformation of neurofibromas.,EXCLUDE,"Cell cycle regulation study, no tool development"
PMID:10620616,Genetic and biochemical evidence that haploinsufficiency of the Nf1 tumor suppressor gene modulates melanocyte and mast cell fates in vivo.,EXCLUDE,"Genetic and biochemical study, no tool development"
PMID:10627474,Inhibition of juvenile myelomonocytic leukemia cell growth in vitro by farnesyltransferase inhibitors.,EXCLUDE,No research tool mentioned
PMID:10633134,A search for evidence of somatic mutations in the NF1 gene.,EXCLUDE,"Mutation screening, no tool development"
PMID:10669747,"Cloning and characterization of SCHIP-1, a novel protein interacting specifically with spliced isoforms and naturally occurring mutant NF2 proteins.",EXCLUDE,"Protein interaction study, no tool development"
PMID:10678181,Nf1 and Gmcsf interact in myeloid leukemogenesis.,EXCLUDE,"Genetic interaction study, no tool development"
PMID:10684924,Cold shock induces the insertion of a cryptic exon in the neurofibromatosis type 1 (NF1) mRNA.,EXCLUDE,"RNA splicing study, no tool development"
PMID:10705390,A unique method for mutation analysis of tumor suppressor genes in colorectal carcinomas using a crypt isolation technique.,INCLUDE,Novel mutation analysis technique (crypt isolation)
PMID:10712197,Minor lesion mutational spectrum of the entire NF1 gene does not explain its high mutability but points to a functional domain upstream of the GAP-related domain.,EXCLUDE,"Mutational spectrum analysis, no tool development"
PMID:10712203,Functional analysis of the neurofibromatosis type 2 protein by means of disease-causing point mutations.,EXCLUDE,"Functional protein analysis, no tool development"
