doi,diseaseFocus,journal,title,year,pmid,author,manifestation,fundingAgency,studyId,studyName,funding_agencies,is_NIH-NCI,is_Fundación Proyecto Neurofibromatosis,is_Children's Cancer Foundation,is_Center for Cancer Research,is_NTAP,is_GFF,is_Cancer Research Foundation,is_The V Foundation,is_syn51298831,is_CTF,is_NFRI,has_linked_tools,is_missing,tool_types_mentioned
10.1093/neuonc/noy046,Neurofibromatosis type 2,Neuro-Oncology,EPH receptor signaling as a novel therapeutic target in NF2-deficient meningioma.,2018,PMID:29982664,"['Steven P Angus', 'Janet L Oblinger', 'Timothy J Stuhlmiller', 'Patrick A DeSouza', 'Roberta L Beauchamp', 'Luke Witt', 'Xin Chen', 'Justin T Jordan', 'Thomas S K Gilbert', 'Anat Stemmer-Rachamimov', 'James F Gusella', 'Scott R Plotkin', 'Stephen J Haggarty', 'Long-Sheng Chang', 'Gary L Johnson', 'Vijaya Ramesh']","['Schwannoma', 'Meningioma']",['CTF'],['syn2343195'],['Synodos NF2'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.1371/journal.pone.0197350,Neurofibromatosis type 2,PLOS One,Traditional and systems biology based drug discovery for the rare tumor syndrome neurofibromatosis type 2.,2018,PMID:29897904,"['The Synodos for NF2 Consortium', 'Robert Allaway', 'Steve P Angus', 'Roberta L Beauchamp', 'Jaishri O Blakeley', 'Marga Bott', 'Sarah S Burns', 'Annemarie Carlstedt', 'Long-Sheng Chang', 'Xin Chen', 'D Wade Clapp', 'Patrick A Desouza', 'Serkan Erdin', 'Cristina Fernandez-Valle', 'Justin Guinney', 'James F Gusella', 'Stephen J Haggarty', 'Gary L Johnson', 'Salvatore La Rosa', 'Helen Morrison', 'Alejandra M Petrilli', 'Scott R Plotkin', 'Abhishek Pratap', 'Vijaya Ramesh', 'Noah Sciaky', 'Anat Stemmer-Rachamimov', 'Tim J Stuhlmiller', 'Michael E Talkowski', 'D Bradley Welling', 'Charles W Yates', 'Jon S Zawistowski', 'Wen-Ning Zhao']","['Schwannoma', 'Meningioma']",['CTF'],['syn2343195'],['Synodos NF2'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.1007/s11060-016-2351-2,Neurofibromatosis type 1,Journal of Neuro-Oncology,"Development of the pediatric quality of life inventory neurofibromatosis type 1 module items for children, adolescents and young adults: qualitative methods.",2017,PMID:28078640,"['Kavitha Nutakki', 'James W Varni', 'Sheila Steinbrenner', 'Claire B Draucker', 'Nancy L Swigonski']",['Plexiform Neurofibroma'],['NTAP'],['syn4939878'],['Child NF1 Quality of Life Measures'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1111/jspn.12174,Neurofibromatosis type 1,Journal for Specialists in Pediatric Nursing,"The health-related quality of life of children, adolescents, and young adults with neurofibromatosis type 1 and their families: Analysis of narratives.",2017,PMID:28198162,"['Claire Burke Draucker', 'Kavitha Nutakki', 'James W Varni', 'Nancy L Swigonski']",['Plexiform Neurofibroma'],['NTAP'],['syn4939878'],['Child NF1 Quality of Life Measures'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1038/sdata.2018.106,Neurofibromatosis type 1,Scientific Data,Pharmacological and genomic profiling of neurofibromatosis type 1 plexiform neurofibroma-derived schwann cells.,2018,PMID:29893754,"['Marc Ferrer', 'Sara J C Gosline', 'Marigo Stathis', 'Xiaohu Zhang', 'Xindi Guo', 'Rajarshi Guha', 'Dannielle A Ryman', 'Margaret R Wallace', 'Laura Kasch-Semenza', 'Haiping Hao', 'Roxann Ingersoll', 'David Mohr', 'Craig Thomas', 'Sharad Verma', 'Justin Guinney', 'Jaishri O Blakeley']",['Plexiform Neurofibroma'],['NTAP'],['syn4939906'],['Drug Screening of pNF Cell Lines'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,True,False,[]
10.1186/s13023-018-0772-z,Neurofibromatosis type 1,Orphanet Journal of Rare Diseases,Cutaneous neurofibromas in Neurofibromatosis type I: a quantitative natural history study.,2018,PMID:29415745,"['Ashley Cannon', 'Mei-Jan Chen', 'Peng Li', 'Kevin P Boyd', 'Amy Theos', 'David T Redden', 'Bruce Korf']",['Cutaneous Neurofibroma'],['NTAP'],['syn8012530'],['NF1 Dermal Neurofibroma Longitudinal Natural History Study and Selumetinib Clinical Trial'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1038/sdata.2017.45,Neurofibromatosis type 1,Scientific Data,A high-throughput molecular data resource for cutaneous neurofibromas.,2017,PMID:28398289,"['Sara J C Gosline', 'Hubert Weinberg', 'Pamela Knight', 'Thomas Yu', 'Xindi Guo', 'Nripesh Prasad', 'Angela Jones', 'Shristi Shrestha', 'Braden Boone', 'Shawn E Levy', 'Salvatore La Rosa', 'Justin Guinney', 'Annette Bakker']",['Cutaneous Neurofibroma'],['CTF'],['syn4984604'],['Cutaneous Neurofibroma Data Resource'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.1172/jci.insight.120402,Neurofibromatosis type 1,JCI Insight,A porcine model of neurofibromatosis type 1 that mimics the human disease.,2018,PMID:29925695,"['Katherine A White', 'Vicki J Swier', 'Jacob T Cain', 'Jordan L Kohlmeyer', 'David K Meyerholz', 'Munir R Tanas', 'Johanna Uthoff', 'Emily Hammond', 'Hua Li', 'Frank A Rohret', 'Adam Goeken', 'Chun-Hung Chan', 'Mariah R Leidinger', 'Shaikamjad Umesalma', 'Margaret R Wallace', 'Rebecca D Dodd', 'Karin Panzer', 'Amy H Tang', 'Benjamin W Darbro', 'Aubin Moutal', 'Song Cai', 'Wennan Li', 'Shreya S Bellampalli', 'Rajesh Khanna', 'Christopher S Rogers', 'Jessica C Sieren', 'Dawn E Quelle', 'Jill M Weimer']",['Plexiform Neurofibroma'],['CTF'],['syn5610446'],['Synodos NF1 Preclinical Models (Iowa Sanford Exemplar)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,['animal_model']
10.1369/0022155417729357,Neurofibromatosis type 1,The Journal of Histochemistry and Cytochemistry,Immunohistochemical Markers for Prospective Studies in Neurofibromatosis-1 Porcine Models.,2017,PMID:28846462,"['David K Meyerholz', 'Georgina K Ofori-Amanfo', 'Mariah R Leidinger', 'J Adam Goeken', 'Rajesh Khanna', 'Jessica C Sieren', 'Benjamin W Darbro', 'Dawn E Quelle', 'Jill M Weimer']",['Plexiform Neurofibroma'],['CTF'],['syn5610446'],['Synodos NF1 Preclinical Models (Iowa Sanford Exemplar)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.3389/fonc.2016.00259,Neurofibromatosis type 1,Frontiers in Oncology,Challenges in Drug Discovery for Neurofibromatosis Type 1-Associated Low-Grade Glioma.,2016,PMID:28066715,"['Cora A Ricker', 'Yuan Pan', 'David H Gutmann', 'Charles Keller']",['Low Grade Glioma'],['CTF'],['syn5698493'],['Synodos NF1 Low Grade Glioma'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.2174/1389557515666151001154002,Neurofibromatosis type 1,Mini-Reviews in Medicinal Chemistry,How to Target Activated Ras Proteins: Direct Inhibition vs. Induced Mislocalization,2016,PMID:26423696,"['Ethan J Brock', 'Kyunmin Ji', 'John J Reiners', 'Raymond R Mattingly']",['Plexiform Neurofibroma'],['NTAP'],['syn7217928'],['Plexiform Neurofibroma Model Systems for Preclinical Drug Screening'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1186/s13321-018-0297-4,Multiple,Journal of Cheminformatics,Probing the chemical-biological relationship space with the Drug Target Explorer.,2018,PMID:30128806,"['Robert J Allaway', 'Salvatore La Rosa', 'Justin Guinney', 'Sara J C Gosline']",[],['CTF'],['syn11672851'],['Drug-Target Explorer'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.7303/syn16857059.1,Neurofibromatosis type 1,American Journal of Cancer Research,Comprehensive pharmacological profiling of neurofibromatosis cell lines.,2017,PMID:28469964,"['Jianman Guo', 'Michael R Grovola', 'Hong Xie', 'Grace E Coggins', 'Patrick Duggan', 'Rukhsana Hasan', 'Jiale Huang', 'Danny W Lin', 'Claire Song', 'Gabriela M Witek', 'Simon Berritt', 'David C Schultz', 'Jeffrey Field']","['Plexiform Neurofibroma', 'MPNST', 'Meningioma']",['CTF'],['syn11817821'],['NF Cell Line Compound Screens'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,True,False,[]
10.1002/ajmg.a.37987,Neurofibromatosis type 1,American Journal of Medical Genetics Part A,Using a qualitative approach to conceptualize concerns of patients with neurofibromatosis type 1 associated plexiform neurofibromas (pNF) across the lifespan.,2017,PMID:27666129,"['Jin-Shei Lai', 'Sally E Jensen', 'Zabin S Patel', 'Robert Listernick', 'Joel Charrow']",['Plexiform Neurofibroma'],['NTAP'],['syn4939888'],['Development of Patient Reported Outcomes System'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1007/s11136-016-1256-z,Neurofibromatosis type 1,Quality of Life Research,Considerations for conducting qualitative research with pediatric patients for the purpose of PRO development.,2016,PMID:26941216,"['Zabin S Patel', 'Sally E Jensen', 'Jin-Shei Lai']",['Plexiform Neurofibroma'],['NTAP'],['syn4939888'],['Development of Patient Reported Outcomes System'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1007/s10880-018-9584-5,Neurofibromatosis type 1,Journal of Clinical Psychology in Medical Settings,Lifespan Development: Symptoms Experienced by Individuals with Neurofibromatosis Type 1 Associated Plexiform Neurofibromas from Childhood into Adulthood.,2018,PMID:30298332,"['Sally E Jensen', 'Zabin S Patel', 'Robert Listernick', 'Joel Charrow', 'Jin-Shei Lai']",['Plexiform Neurofibroma'],['NTAP'],['syn4939888'],['Development of Patient Reported Outcomes System'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1016/j.jpeds.2018.10.019,Neurofibromatosis type 1,The Journal of Pediatrics,Patient Reported Outcomes Measurement Information System and Quality of Life in Neurological Disorders Measurement System to Evaluate Quality of Life for Children and Adolescents with Neurofibromatosis Type 1 Associated Plexiform Neurofibroma.,2019,PMID:30413310,"['Jin-Shei Lai', 'Sally E Jensen', 'Joel Charrow', 'Robert Listernick']",['Plexiform Neurofibroma'],['NTAP'],['syn4939888'],['Development of Patient Reported Outcomes System'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1111/papr.12695,Neurofibromatosis type 1,Pain Practice,"The Relationship Between Heart Rate Variability, Psychological Flexibility, and Pain in Neurofibromatosis Type 1.",2018,PMID:29570943,"['Taryn M Allen', 'Kari L Struemph', 'Mary Anne Toledo-Tamula', 'Pamela L Wolters', 'Andrea Baldwin', 'Brigitte Widemann', 'Staci Martin']",['Plexiform Neurofibroma'],['NTAP'],['syn4939896'],"['Acceptance and Commitment Training for Adolescents and Young Adults with Neurofibromatosis Type  I, Plexiform Neurofibromas, and Chronic  Pain: A Phase III Clinical Trial']",['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1038/srep43315,Neurofibromatosis type 1,Scientific Reports,An inflammatory gene signature distinguishes neurofibroma Schwann cells and macrophages from cells in the normal peripheral nervous system.,2017,PMID:28256556,"['Kwangmin Choi', 'Kakajan Komurov', 'Jonathan S Fletcher', 'Edwin Jousma', 'Jose A Cancelas', 'Jianqiang Wu', 'Nancy Ratner']",['Plexiform Neurofibroma'],['NTAP'],['syn4939890'],['Exploring the Plexiform Neurofibroma Interactome'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.1158/0008-5472.CAN-17-3167,Neurofibromatosis type 1,Cancer Research,Genomic Status of MET Potentiates Sensitivity to MET and MEK Inhibition in NF1-Related Malignant Peripheral Nerve Sheath Tumors.,2018,PMID:29720369,"['Jacqueline D Peacock', 'Matthew G Pridgeon', 'Elizabeth A Tovar', 'Curt J Essenburg', 'Megan Bowman', 'Zachary Madaj', 'Julie Koeman', 'Elissa A Boguslawski', 'Jamie Grit', 'Rebecca D Dodd', 'Vadim Khachaturov', 'Diana M Cardona', 'Mark Chen', 'David G Kirsch', 'Flavio Maina', 'Rosanna Dono', 'Mary E Winn', 'Carrie R Graveel', 'Matthew R Steensma']",['Cutaneous Neurofibroma'],['NTAP'],['syn4939910'],['Mechanisms underlying cutaneous neurofibroma formation in NF1'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
