_pmid,_doi,_publicationTitle,resourceName,resourceType,observationType,details,foundIn,contextSnippet,confidence
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice,animal_model,Biomarker,"Nf1+/- mice (n=33) exhibited reduced dopamine transient frequency compared to Nf1+/+ littermates (n=19) (unpaired t-test; t50=3.06, p=0.004)",Results,"Peak analysis of baseline dLight1.2 recordings revealed that Nf1+/- mice (n = 33) exhibit reduced transient frequency (unpaired t-test; t50 = 3.06, p=0.004)",0.95
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice,animal_model,Biomarker,"Nf1+/- putative dopaminergic neurons (n=18) showed lower spontaneous firing rates compared to Nf1+/+ neurons (n=12) (unpaired t-test; t28=2.58, p<0.05)",Results,"Spontaneous firing rates (right) were lower (unpaired t-test; t28 = 2.58, p=0.0w) in Nf1+/- putative dopaminergic neurons (n = 18) compared to Nf1+/+ neurons (n = 12)",0.95
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice,animal_model,Biomarker,"Nf1+/- neurons (n=29) had increased rheobase (171.7±7.779 pA) compared to Nf1+/+ (n=21, 124.1±8.65 pA) (unpaired t-test; t48=4.05, p<0.001)",Results,"Rheobase (right; unpaired t-test; t48 = 4.05, p<0.001) but not action potential threshold was increased in Nf1+/- (n = 29) putative dopaminergic neurons compared to Nf1+/+ (n = 21)",0.95
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice,animal_model,Biomarker,"Nf1+/- putative dopaminergic neurons (n=29) had increased input resistance (235.7±16.32 MΩ) and decreased capacitance (41.27±2.026 pF) compared to Nf1+/+ neurons (n=21, 172.4±10.94 MΩ, 47.35±2.032 pF)",Results,"Nf1+/- putative dopaminergic neurons (n = 29) had increased input resistance (Rm; left; unpaired t-test; t48 = 2.97, p=0.005) and decreased capacitance (Cm; right; t48 = 2.54, p=0.01)",0.95
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice,animal_model,Biomarker,"VTA dopaminergic soma cross-sectional area was reduced in Nf1+/- mice (n=2586 somata) compared to Nf1+/+ (n=2344 somata) (two-sample Kolmogorov-Smirnov test; D=0.18, p<0.001)",Results,"The cumulative probability distribution of the cross sectional area of manually traced Nf1+/+ (n = 2344) and Nf1+/- (n = 2586) VTA dopaminergic neuron somata (two-sample Kolmogorov-Smirnov test; D = 0.18, p<0.001)",0.95
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice,animal_model,Biomarker,"Nf1+/- putative dopaminergic neurons displayed increased sIPSC frequency but not sIPSC amplitude, sEPSC frequency, or sEPSC amplitude compared to Nf1+/+ neurons",Results,"Nf1+/- putative dopaminergic neurons displayed increased sIPSC frequency but not sIPSC amplitude, sEPSC frequency, or sEPSC amplitude compared to Nf1+/+ neurons",0.9
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice,animal_model,Behavioral,"Nf1+/- mice exhibited larger dLight1.2 responses to CS presentation on first day of testing compared to Nf1+/+ littermates (unpaired t-test; t20=2.34, p=0.03)",Results,"Nf1+/- mice displayed enhanced dLight1.2 responses to CS presentation on the first day of testing (Figure 4J, inset) compared to Nf1+/+ littermates",0.9
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice,animal_model,Behavioral,Nf1+/- mice had greater peak responses to light (p<0.001) but not tone onset (p>0.99) compared to Nf1+/+ mice (n=10 each group),Results,"Nf1+/- mice had greater peak responses to light (p<0.001) but not tone onset (p>0.99) compared to Nf1+/+ mice (n+/+ = 10, n+/- = 10)",0.95
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,pAAV-hSyn-dLight1.2,genetic_reagent,Efficacy,"dLight1.2 allows for sub-micromolar detection of extracellular dopamine concentrations with sub-second resolution and negligible sensitivity to other monoamines, GABA, and glutamate",Results,"the genetically encoded, fluorescent dopamine sensor dLight1.2 which allows for sub-micromolar detection of extracellular dopamine concentrations with sub-second resolution and negligible sensitivity to other monoamines, GABA, and glutamate",0.9
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,pAAV-hSyn-dLight1.2,genetic_reagent,Efficacy,Robust LNAc dopamine transients were observed time-locked to reward consumption in both Nf1+/- and Nf1+/+ mice with no significant difference between genotypes,Results,"In both Nf1+/- and Nf1+/+ mice, we observed robust LNAc dopamine transients time-locked to reward consumption that were not significantly different between genotypes",0.9
