pmid,title,doi,journal,year,query_type,source
PMID:10053020,The duty to recontact: attitudes of genetics service providers.,10.1086/302293,American journal of human genetics,1999.0,"bench,clinical",pubmed
PMID:10339466,Myeloid malignancies induced by alkylating agents in Nf1 mice.,,Blood,1999.0,bench,pubmed
PMID:10383727,"The Nf1 tumor suppressor regulates mouse skin wound healing, fibroblast proliferation, and collagen deposited by fibroblasts.",10.1046/j.1523-1747.1999.00609.x,The Journal of investigative dermatology,1999.0,bench,pubmed
PMID:10433955,Molecular genetic analysis of ependymal tumors. NF2 mutations and chromosome 22q loss occur preferentially in intramedullary spinal ependymomas.,10.1016/S0002-9440(10)65158-9,The American journal of pathology,1999.0,bench,pubmed
PMID:10469340,Aberrant cutaneous expression of the angiogenic factor midkine is associated with neurofibromatosis type-1.,10.1046/j.1523-1747.1999.00699.x,The Journal of investigative dermatology,1999.0,bench,pubmed
PMID:10517503,Clonal origin of recurrent meningiomas.,10.1111/j.1750-3639.1999.tb00546.x,"Brain pathology (Zurich, Switzerland)",1999.0,bench,pubmed
PMID:10547131,"Physicians' decision-making in incompetent elderly patients: a comparative study between Austria, Germany (East, West), and Sweden.",10.1017/s1041610299005876,International psychogeriatrics,1999.0,clinical,pubmed
PMID:10567424,Interdomain interaction of merlin isoforms and its influence on intermolecular binding to NHE-RF.,10.1074/jbc.274.48.34438,The Journal of biological chemistry,1999.0,bench,pubmed
PMID:10572231,"[HNPCC syndrome, microsatellite instability and NF1 gene alteration].",,Bulletin du cancer,1999.0,bench,pubmed
PMID:10591653,Mouse tumor model for neurofibromatosis type 1.,10.1126/science.286.5447.2176,"Science (New York, N.Y.)",1999.0,bench,pubmed
PMID:10595915,Deletions of the INK4A gene occur in malignant peripheral nerve sheath tumors but not in neurofibromas.,10.1016/S0002-9440(10)65504-6,The American journal of pathology,1999.0,bench,pubmed
PMID:10595919,Expression of p27(kip) and other cell cycle regulators in malignant peripheral nerve sheath tumors and neurofibromas: the emerging role of p27(kip) in malignant transformation of neurofibromas.,10.1016/S0002-9440(10)65508-3,The American journal of pathology,1999.0,bench,pubmed
PMID:10620616,Genetic and biochemical evidence that haploinsufficiency of the Nf1 tumor suppressor gene modulates melanocyte and mast cell fates in vivo.,10.1084/jem.191.1.181,The Journal of experimental medicine,2000.0,bench,pubmed
PMID:10625896,Midline and far lateral approaches to foramen magnum lesions.,,Neurology India,1999.0,bench,pubmed
PMID:10627474,Inhibition of juvenile myelomonocytic leukemia cell growth in vitro by farnesyltransferase inhibitors.,,Blood,2000.0,bench,pubmed
PMID:10633134,A search for evidence of somatic mutations in the NF1 gene.,10.1136/jmg.37.1.44,Journal of medical genetics,2000.0,bench,pubmed
PMID:10669747,"Cloning and characterization of SCHIP-1, a novel protein interacting specifically with spliced isoforms and naturally occurring mutant NF2 proteins.",10.1128/MCB.20.5.1699-1712.2000,Molecular and cellular biology,2000.0,bench,pubmed
PMID:10678181,Nf1 and Gmcsf interact in myeloid leukemogenesis.,10.1016/s1097-2765(00)80415-3,Molecular cell,2000.0,bench,pubmed
PMID:10684924,Cold shock induces the insertion of a cryptic exon in the neurofibromatosis type 1 (NF1) mRNA.,10.1093/nar/28.6.1307,Nucleic acids research,2000.0,bench,pubmed
PMID:10705390,A unique method for mutation analysis of tumor suppressor genes in colorectal carcinomas using a crypt isolation technique.,10.5858/2000-124-0382-AUMFMA,Archives of pathology & laboratory medicine,2000.0,bench,pubmed
