pmid,title,doi,journal,year,source,query_type
PMID:29982664,EPH receptor signaling as a novel therapeutic target in NF2-deficient meningioma.,10.1093/neuonc/noy046,Neuro-Oncology,2018,synapse,bench
PMID:39321200,Multidimensional Immunotyping of Human NF1-Associated Peripheral Nerve Sheath Tumors Uncovers Tumor-Associated Macrophages as Key Drivers of Immune Evasion in the Tumor Microenvironment.,10.1158/1078-0432.CCR-24-1454,Clinical Cancer Research,2024,synapse,bench
PMID:41695475,A cochlea-sparing strategy for non-invasive control of intracranial schwannomas via peripheral irradiation and anti-PD-1 therapy enhanced by STING activation.,10.7150/thno.123726,Theranostics,2026,pubmed,bench
PMID:41680443,Proof-of-principle of NF1 gene therapy in plexiform neurofibroma xenograft mouse models.,10.1038/s42003-026-09695-8,Communications biology,2026,pubmed,bench
PMID:41675655,Matrix Metalloproteinase‑9 (MMP-9) Activatable Gold Nanoparticles for ,10.1021/acsanm.5c04657,ACS applied nano materials,2026,pubmed,bench
PMID:41631643,Disrupted Frontoparietal Dynamics in Neurofibromatosis Type 1: Reduced Sensitivity and Atypical Modulation During Working Memory.,10.1002/hbm.70464,Human brain mapping,2026,pubmed,bench
PMID:41616055,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,10.1126/sciadv.ady8382,Science advances,2026,pubmed,bench
PMID:41594582,Caffeine May Delay the Radiation-Induced Nucleoshuttling of the ATM Kinase and Reduce the Recognition of the DNA Double-Strand Breaks in Human Cells.,10.3390/biom16010041,Biomolecules,2025,pubmed,bench
PMID:41591566,FAP expression as a marker of malignant transformation enabling in vivo characterization in peripheral nerve sheath tumors: a multimodal and translational study.,10.1007/s00401-026-02979-7,Acta neuropathologica,2026,pubmed,bench
PMID:41582719,Inhibition of Cxcr4 chemokine receptor signaling improves habituation learning in a zebrafish model of Neurofibromatosis.,10.1242/dmm.052509,Disease models & mechanisms,2026,pubmed,bench
PMID:41580779,HMGB1 affects the progression of neurofibromatosis type 1-associated malignant peripheral nerve sheath tumors through E2F2.,10.1186/s12935-025-04165-3,Cancer cell international,2026,pubmed,bench
PMID:41570527,Novel insights into the regulation of NF2/SWH signaling in granulosa cells of prehierarchical follicle development in hen ovary.,10.1016/j.psj.2026.106375,Poultry science,2026,pubmed,bench
PMID:41564118,Immortalization and characterization of Schwann cell lines derived from NF1-associated cutaneous neurofibromas.,10.1371/journal.pone.0340183,PloS one,2026,pubmed,bench
PMID:41545416,Asthma-mediated control of optic glioma growth via T cell-microglia interactions: A mathematical model.,10.1038/s41540-026-00647-w,NPJ systems biology and applications,2026,pubmed,bench
PMID:41533509,Microenvironmental TGF-β is an early driver of NF1-associated tumor formation.,10.1016/j.celrep.2025.116822,Cell reports,2026,pubmed,bench
PMID:41496346,"Midkine as a therapeutic node in NF1-driven neuro‑oncology: Biology, biomarkers, and translational strategies.",10.1016/j.biopha.2025.118947,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2026,pubmed,bench
PMID:41496278,Simultaneous reprogramming and gene correction to generate six iPSC lines and isogenic controls from individuals with neurofibromatosis type 1.,10.1016/j.scr.2025.103904,Stem cell research,2026,pubmed,bench
PMID:41487565,Context-specific targeting of focal adhesion kinase in brain tumors: lessons from glioblastoma and neurofibromatosis type 2-mutant meningioma.,10.3389/fonc.2025.1724278,Frontiers in oncology,2025,pubmed,bench
PMID:41480769,Merlin's disappearing act: NF2 loss conjures pancreatic cancer survival in the hostile tumor microenvironment.,10.1172/JCI200909,The Journal of clinical investigation,2026,pubmed,bench
PMID:41480763,NF2 loss malignantly transforms human pancreatic acinar cells and enhances cell fitness under environmental stress.,10.1172/JCI194395,The Journal of clinical investigation,2026,pubmed,bench
PMID:41468561,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,10.1212/WNL.0000000000214480,Neurology,2026,pubmed,bench
PMID:41463204,The Pathogenesis of the Neurofibroma-to-Sarcoma Transition in Neurofibromatosis Type I: From Molecular Profiles to Diagnostic Applications.,10.3390/cancers17243955,Cancers,2025,pubmed,bench
PMID:41444363,Focused ultrasound-mediated drug delivery of bevacizumab in treating NF2-related schwannomatosis in an animal model.,10.1038/s41598-025-32031-9,Scientific reports,2025,pubmed,bench
PMID:41437121,The tumour immune microenvironment is enriched but suppressed in vestibular schwannoma compared to meningioma: therapeutic implications for NF2-related schwannomatosis.,10.1186/s40478-025-02176-9,Acta neuropathologica communications,2025,pubmed,bench
PMID:41411243,PERADIGM: Phenotype embedding similarity-based rare disease gene mapping.,10.1371/journal.pgen.1011976,PLoS genetics,2025,pubmed,bench
PMID:41397954,Pharmacological inhibition of RAS pathway alleviates spine deformity in a mouse model of neurofibromatosis type 1.,10.1038/s41413-025-00492-3,Bone research,2025,pubmed,bench
PMID:41374990,Neurofibromatosis Type 1: Genetic Mechanisms and Advances in Therapeutic Innovation.,10.3390/cancers17233788,Cancers,2025,pubmed,bench
PMID:41374983,Challenges and Progress for Treatment of Malignant Peripheral Nerve Sheath Tumors in the Context of Recent Successes for Sarcoma Therapy.,10.3390/cancers17233781,Cancers,2025,pubmed,bench
PMID:41340880,"Bibliometric Analysis of Global Research on Cafe-Au-Lait Macules from 2000 to 2025: Development, Collaboration Patterns, and Emerging Trends.",10.2147/CCID.S560724,"Clinical, cosmetic and investigational dermatology",2025,pubmed,bench
PMID:41294711,Neurofibromatosis Type 1 and the Search for Effective Tumor Therapies Using High-Throughput Drug Screening.,10.3390/curroncol32110649,"Current oncology (Toronto, Ont.)",2025,pubmed,bench
PMID:41226361,CDK4/6 Inhibitors in Breast Cancer-Who Should Receive Them?,10.3390/ijms262110322,International journal of molecular sciences,2025,pubmed,bench
PMID:41223283,Glial-to-mesenchymal transition of tumor Schwann cells drives the genetic burden in MPNSTs from neurofibromatosis type 1 mouse model.,10.1126/sciadv.adt9210,Science advances,2025,pubmed,bench
PMID:41211508,Ambient ionization mass spectrometry in brain cancer diagnosis.,10.1016/j.jmsacl.2025.10.002,Journal of mass spectrometry and advances in the clinical lab,2025,pubmed,bench
PMID:41210219,Radiation sensitivity in genetic tumour syndromes and how to test for them.,10.1515/medgen-2025-2041,Medizinische Genetik : Mitteilungsblatt des Berufsverbandes Medizinische Genetik e.V,2025,pubmed,bench
PMID:41168866,Artificial intelligence-based tools for precision diagnosis and treatment of neurofibromatosis type 1 associated peripheral and central glial tumors.,10.1186/s13023-025-04093-5,Orphanet journal of rare diseases,2025,pubmed,bench
PMID:41155378,Neurofibromin Encoded by the ,10.3390/ijms262010072,International journal of molecular sciences,2025,pubmed,bench
PMID:41149489,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,10.3390/curroncol32100569,"Current oncology (Toronto, Ont.)",2025,pubmed,bench
PMID:41078618,Expanding the Genetic Landscape of RASopathies: Significance of Including ,10.1159/000545192,Molecular syndromology,2025,pubmed,bench
PMID:41053414,Natural history of SPP1 signaling in NF1 tumors.,10.1038/s41698-025-01078-2,NPJ precision oncology,2025,pubmed,bench
PMID:41036990,[Neurofibromatosis: advances in diagnosis and treatment].,,Medicina,2025,pubmed,bench
PMID:41036607,Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors.,10.1158/1535-7163.MCT-24-1053,Molecular cancer therapeutics,2026,pubmed,bench
PMID:41023593,Selective inhibition of BRAF and CRAF sensitizes NF1-deficient malignant peripheral nerve sheath tumors to MEK inhibitors.,10.1186/s10020-025-01353-9,"Molecular medicine (Cambridge, Mass.)",2025,pubmed,bench
PMID:41022755,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,10.1038/s41467-025-63619-4,Nature communications,2025,pubmed,bench
PMID:41001593,Loss of Schwann cell's normal rhythmic core clock gene expression and gain of rhythmic expression of oncogenic driver genes in malignant NF1-associated peripheral nerve sheath tumor.,10.1080/23723556.2025.2561292,Molecular & cellular oncology,2025,pubmed,bench
PMID:41001135,"Schwann cells in the inner ear: development, disease, and regeneration.",10.3389/fncel.2025.1662274,Frontiers in cellular neuroscience,2025,pubmed,bench
PMID:40992926,"Daytime SHP2 inhibitor dosing, when immune cell numbers are elevated, shrinks neurofibromas.",10.26508/lsa.202503359,Life science alliance,2025,pubmed,bench
PMID:40979205,Progress in genetic mechanisms and precise treatment of neurocutaneous syndrome-related epilepsy.,10.3389/fneur.2025.1642299,Frontiers in neurology,2025,pubmed,bench
PMID:40977920,Cell-free DNA fragmentomics: a universal framework for early cancer detection and monitoring.,10.62347/EBRY4326,American journal of clinical and experimental immunology,2025,pubmed,bench
PMID:40940846,Repair of Mutated ,10.3390/cancers17172749,Cancers,2025,pubmed,bench
PMID:40896930,High resolution nerve ultrasound in neurofibromatosis type 1: a prospective and descriptive study.,10.1016/j.clinph.2025.2110992,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,2025,pubmed,bench
PMID:40894429,Olfactory Groove Meningiomas and the Association with Postoperative Weight Loss.,10.1055/a-2374-9868,"Journal of neurological surgery. Part B, Skull base",2025,pubmed,bench
PMID:40887659,RENOVO-NF1 accurately predicts NF1 missense variant pathogenicity.,10.1186/s40246-025-00803-z,Human genomics,2025,pubmed,bench
PMID:40877908,TRAP1 expression elicits pro-tumoral functions in macrophages associated to malignant peripheral nerve sheath tumor cells.,10.1186/s13046-025-03525-1,Journal of experimental & clinical cancer research : CR,2025,pubmed,bench
PMID:40862755,Fibroblasts Attenuate Anti-Tumor Drug Efficacy in Tumor Cells via Paracrine Interactions with Tumor Cells in 3D Plexiform Neurofibroma Cultures.,10.3390/cells14161276,Cells,2025,pubmed,bench
PMID:40843672,Epigenetic Mechanisms in Neurofibromatosis Types 1 and 2.,10.3390/epigenomes9030030,Epigenomes,2025,pubmed,bench
PMID:40849244,A consensus on the diagnosis and management of neurofibromatosis type 1 in Taiwan.,10.1016/j.jfma.2025.08.018,Journal of the Formosan Medical Association = Taiwan yi zhi,2025,pubmed,bench
PMID:40842873,Evaluating the effect of voxel size on the accuracy of 3D volumetric analysis measurements of brain tumors.,10.3389/fradi.2025.1618261,Frontiers in radiology,2025,pubmed,bench
PMID:40842566,Translocator protein deficiency blocks the ferroptosis of malignant peripheral nerve sheath tumors through glutathione peroxidase 4.,10.3389/fncel.2025.1624817,Frontiers in cellular neuroscience,2025,pubmed,bench
PMID:40769067,Serum miRNAs as biomarkers in Neurofibromatosis 1: New promising findings.,10.1016/j.jns.2025.123643,Journal of the neurological sciences,2025,pubmed,bench
PMID:40764996,"From genes to therapy: navigating the complex landscape of neurofibromatosis management in Canada through advanced diagnostic, targeted therapies, and holistic care.",10.1186/s13023-025-03793-2,Orphanet journal of rare diseases,2025,pubmed,bench
PMID:40756144,Molecular Basis of Fracture Pseudarthrosis Associated with Neurofibromatosis Type 1.,10.1016/j.jposna.2025.100202,Journal of the Pediatric Orthopaedic Society of North America,2025,pubmed,bench
PMID:40724874,Preclinical Evaluation of Repurposed Antimalarial Artemisinins for the Treatment of Malignant Peripheral Nerve Sheath Tumors.,10.3390/ijms26146628,International journal of molecular sciences,2025,pubmed,bench
PMID:40723243,The Combination of HSP90 Inhibitors and Selumetinib Reinforces the Inhibitory Effects on Plexiform Neurofibromas.,10.3390/cancers17142359,Cancers,2025,pubmed,bench
PMID:40713507,Distinct early development trajectories in Nf1,10.1186/s11689-025-09624-6,Journal of neurodevelopmental disorders,2025,pubmed,bench
PMID:40707701,Pyrimidine addiction: an Achilles' heel of NF2-altered mesothelioma.,10.1038/s44321-025-00276-6,EMBO molecular medicine,2025,pubmed,bench
PMID:40692699,Knowledge and attitudes about rare genetic diseases among practitioners of oral medicine/pathology in Brazil: a cross-sectional study.,10.3389/froh.2025.1573355,Frontiers in oral health,2025,pubmed,bench
PMID:40684195,Unraveling the development of cutaneous neurofibromas in neurofibromatosis type 1.,10.1186/s40478-025-02075-z,Acta neuropathologica communications,2025,pubmed,bench
PMID:40653509,Rare variants modulating phenotype in NF1 carriers.,10.1038/s41598-025-09751-z,Scientific reports,2025,pubmed,bench
PMID:40649916,Skin Signals: Exploring the Intersection of Cancer Predisposition Syndromes and Dermatological Manifestations.,10.3390/ijms26136140,International journal of molecular sciences,2025,pubmed,bench
PMID:40617948,Unraveling novel variants in the NF1 gene and investigating potential therapeutic strategies.,10.1038/s41598-025-07318-6,Scientific reports,2025,pubmed,bench
PMID:40608210,Enhancing care coordination for neurofibromatosis type 1 in primary care: insights and applications for rare diseases.,10.1007/s12687-025-00811-5,Journal of community genetics,2025,pubmed,bench
PMID:40590220,A haploinsufficiency restoration strategy corrects neurobehavioral deficits in Nf1+/- mice.,10.1172/JCI188932,The Journal of clinical investigation,2025,pubmed,bench
PMID:40587782,"A transcriptomic, proteomic, and functional genetic atlas dissects neurofibromin function in the peripheral nervous system.",10.1073/pnas.2506823122,Proceedings of the National Academy of Sciences of the United States of America,2025,pubmed,bench
PMID:40567456,Non-invasive brain stimulation reorganises effective connectivity during a working memory task in individuals with Neurofibromatosis Type 1.,10.1016/j.ynirp.2025.100258,Neuroimage. Reports,2025,pubmed,bench
PMID:40563570,The RXR Agonist MSU-42011 Reduces Tumor Burden in a Murine Preclinical NF1-Deficient Model.,10.3390/cancers17121920,Cancers,2025,pubmed,bench
PMID:40540562,TGFβ-dependent signaling drives tumor growth and aberrant extracellular matrix dynamics in NF1-associated plexiform neurofibroma.,10.1126/sciadv.adu0772,Science advances,2025,pubmed,bench
PMID:40532825,RASopathies. Part II: Cutaneous and extracutaneous manifestations.,10.1016/j.jaad.2025.01.106,Journal of the American Academy of Dermatology,2025,pubmed,bench
PMID:40529476,Using Durometers to Quantify Stiffness as an Outcome Measure for Cutaneous Neurofibroma in Neurofibromatosis Type 1.,10.1016/j.xjidi.2025.100380,JID innovations : skin science from molecules to population health,2025,pubmed,bench
PMID:40518121,RASopathies. Part I: Genetics and therapeutic considerations.,10.1016/j.jaad.2025.05.1455,Journal of the American Academy of Dermatology,2025,pubmed,bench
PMID:40507334,Development of a Novel Biomarker Platform for Profiling Key Protein-Protein Interactions to Predict the Efficacy of BH3-Mimetic Drugs.,10.3390/cancers17111852,Cancers,2025,pubmed,bench
PMID:40460210,Development of two different eco-friendly label-free platforms for analysis of selumetinib.,10.2478/acph-2025-0013,"Acta pharmaceutica (Zagreb, Croatia)",2025,pubmed,bench
PMID:40428382,The Role of Artificial Intelligence in Identifying ,10.3390/genes16050560,Genes,2025,pubmed,bench
PMID:40419758,Mirdametinib: First Approval.,10.1007/s40265-025-02190-0,Drugs,2025,pubmed,bench
PMID:40394150,Mass spectrometric insights into the protein composition of human cutaneous neurofibromas: comparison of neurofibromas with the overlying skin.,10.1038/s41416-025-03055-9,British journal of cancer,2025,pubmed,bench
PMID:40364967,Transorbital approach for a Meckel's cave hybrid benign tumor: operative video and technical nuances.,10.3171/2025.1.FOCVID24164,Neurosurgical focus: Video,2025,pubmed,bench
PMID:40362579,Molecular Dynamics Simulations of the SPRED2,10.3390/ijms26094342,International journal of molecular sciences,2025,pubmed,bench
PMID:40361331,Predictors in Optic Pathway Gliomas in Neurofibromatosis Type 1: A Single Center Study.,10.3390/cancers17091404,Cancers,2025,pubmed,bench
PMID:40357806,Dentofacial Malocclusion in Neurofibromatosis 1 in Finland.,10.1002/ajmg.a.64110,American journal of medical genetics. Part A,2025,pubmed,bench
PMID:40352015,Development of a Machine Learning Algorithm for the Prediction of WHO Grade 1 Meningioma Recurrence.,10.7759/cureus.82033,Cureus,2025,pubmed,bench
PMID:40279245,Loss of neurofibromin induces inflammatory macrophage phenotypic switch and retinal neovascularization via GLUT1 activation.,10.1016/j.celrep.2025.115625,Cell reports,2025,pubmed,bench
PMID:40217315,A single-cell atlas of Schwannoma across genetic backgrounds and anatomic locations.,10.1186/s13073-025-01462-4,Genome medicine,2025,pubmed,bench
PMID:40214469,Galectin-1 Inhibition as a Strategy for Malignant Peripheral Nerve Sheath Tumor Treatment.,10.3390/cells14070515,Cells,2025,pubmed,bench
PMID:40191916,"The draft genome of the Wisconsin Miniature SwineTM, a valuable biomedical research tool.",10.1093/g3journal/jkaf067,"G3 (Bethesda, Md.)",2025,pubmed,bench
PMID:40188079,"Interactions among Merlin, Arkadia, and SKOR2 mediate NF2-associated human Schwann cell proliferation.",10.1186/s13287-025-04281-x,Stem cell research & therapy,2025,pubmed,bench
PMID:40172801,From benign neurofibromas to malignant peripheral nerve sheath tumors (MPNST): a gaming among multiple factors.,10.1007/s13402-025-01054-9,"Cellular oncology (Dordrecht, Netherlands)",2025,pubmed,bench
PMID:40169570,A genotype-first approach identifies high incidence of NF1 pathogenic variants with distinct disease associations.,10.1038/s41467-025-57077-1,Nature communications,2025,pubmed,bench
