pmid,doi,title,journal,year,pmc_id,publication_types
PMID:41640172,10.1002/cam4.71483,Presentation and Outcomes of CNS Tumors Associated With Phakomatoses Syndromes From a Specialized Neuro-Oncology Practice in India.,Cancer medicine,2026,PMC12873450,Journal Article
PMID:41636903,10.1007/s00277-026-06752-4,Neurofibromatosis type I -related severe aplastic anemia: an unusual association with a complicated bone marrow transplantation course.,Annals of hematology,2026,PMC12872736,Journal Article
PMID:41635804,10.1093/noajnl/vdaf223,Metabolomic profiling and stable isotope tracing of human schwannomas: A novel perspective on tumor biology and radiation response.,Neuro-oncology advances,2026,PMC12863081,Journal Article
PMID:41634811,10.1186/s13059-026-03952-z,Sex-specific nonlinear DNA methylation aging trajectories reveal biomarkers of cancer risk and inflammation.,Genome biology,2026,PMC12870970,Journal Article
PMID:41631643,10.1002/hbm.70464,Disrupted Frontoparietal Dynamics in Neurofibromatosis Type 1: Reduced Sensitivity and Atypical Modulation During Working Memory.,Human brain mapping,2026,PMC12865864,Journal Article
PMID:41630929,10.1212/NXG.0000000000200347,Variant Resolution Through RNA Testing and Affected Tissue Analysis in the Neurofibromatoses: A Case Series.,Neurology. Genetics,2026,PMC12854484,Journal Article
PMID:41624216,10.1155/crig/4494577,Concomitant Chromosomal and Molecular Aberrations in Trisomy 8 Mosaicism and Associated Compound Phenotypes: Report of Three Cases and Review of Literature.,Case reports in genetics,2026,PMC12855162,Journal Article
PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,Science advances,2026,PMC12857737,Journal Article
PMID:41605952,10.1038/s41525-025-00539-8,Identification and validation of CARS1 p.E712V and NF1 p.Q2002X in sporadic Moyamoya disease across 30 trio pedigrees.,NPJ genomic medicine,2026,PMC12855827,Journal Article
PMID:41602242,10.7759/cureus.100193,Perspectives of Patients and Providers on Chronic Pain Assessment in Neurofibromatosis Type 1 (NF1): A Qualitative Study.,Cureus,2025,PMC12834318,Journal Article
PMID:41598651,10.3390/jcm15020712,Clinical and Genetic Characteristics of Pheochromocytoma and Paraganglioma: A Single-Center Experience Including a Rare VHL Variant.,Journal of clinical medicine,2026,PMC12842531,Journal Article
PMID:41598414,10.3390/jcm15020475,Dermoscopy-Guided High-Frequency Ultrasound Imaging of Subcentimeter Cutaneous and Subcutaneous Neurofibromas in Patients with Neurofibromatosis Type 1.,Journal of clinical medicine,2026,PMC12841819,Journal Article
PMID:41595212,10.3390/cancers18020293,Conversational AI-Enabled Precision Oncology Reveals Context-Dependent MAPK Pathway Alterations in Hispanic/Latino and Non-Hispanic White Colorectal Cancer Stratified by Age and FOLFOX Exposure.,Cancers,2026,PMC12839066,Journal Article
PMID:41595159,10.3390/cancers18020239,Prognostic Impact of RTK-RAS Alterations in FOLFOX-Treated Early-Onset Colorectal Cancer Revealed by Artificial Intelligence-Driven Precision Oncology.,Cancers,2026,PMC12838724,Journal Article
PMID:41595138,10.3390/cancers18020218,Small Bowel Gastrointestinal Stromal Tumors: A 15-Year Cohort Study Focusing on Jejuno-Ileal Site-Specific Outcomes and Prognostic Factors.,Cancers,2026,PMC12838538,Journal Article
PMID:41594893,10.3390/biology15020158,Exercise-Induced Meat Quality Improvement Is Associated with an lncRNA-miRNA-mRNA Network in Tibetan Sheep.,Biology,2026,PMC12837501,Journal Article
PMID:41594582,10.3390/biom16010041,Caffeine May Delay the Radiation-Induced Nucleoshuttling of the ATM Kinase and Reduce the Recognition of the DNA Double-Strand Breaks in Human Cells.,Biomolecules,2025,PMC12839020,Journal Article
PMID:41591566,10.1007/s00401-026-02979-7,FAP expression as a marker of malignant transformation enabling in vivo characterization in peripheral nerve sheath tumors: a multimodal and translational study.,Acta neuropathologica,2026,PMC12847211,Journal Article
PMID:41588513,10.1186/s13023-025-04166-5,"Healthcare utilization patterns and costs related to neurofibromatosis 1 in Ontario, Canada.",Orphanet journal of rare diseases,2026,PMC12837521,Journal Article
PMID:41586863,10.1007/s11060-026-05422-9,Intralabyrinthine MRI FLAIR as a predictive marker for hearing loss in vestibular schwannomas in Neurofibromatosis Type 2.,Journal of neuro-oncology,2026,PMC12835039,Journal Article
