toolName,toolType,_pmid,_doi,_publicationTitle,_year,_confidence,_usageType,nf_specific,completeness_score,priority,strainNomenclature,animalModelGeneticDisorder,animalModelOfManifestation,targetAntigen,hostOrganism,clonality,organ,cellLineGeneticDisorder,cellLineManifestation,cellLineCategory,insertName,vectorType,vectorBackbone,promoter,softwareName,softwareType,softwareVersion,sourceRepository,modelType,derivationSource,cellTypes,organoidType,modelSystemType,patientDiagnosis,hostStrain,tumorType,assessmentName,assessmentType,targetPopulation,diseaseSpecific,numberOfItems,_context,filter_reason
Matrigel spheroids,advanced_cellular_models,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,spheroid,cell line,,,,,,,,,,,,NF1-deficient MUT-45 spheroids grow larger than NF1-EV spheroids when grown in Matrigel,Publication title lacks 3D/organoid/spheroid terminology
primary cultures derived from plexiform neurofibromas,advanced_cellular_models,PMID:25851896,10.3988/jcn.2015.11.2.172,Preclinical assessment of the anticancer drug response of plexiform neurofibroma tissue using primary cultures.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,other,patient tissue,"Schwann cells, fibroblasts",,,,,,,,,,,Primary cultures containing tumor and nontumor stromal cells were utilized in a novel strategy to test drug responses...four primary cultures derived from plexiform neurofibromas,Publication title lacks 3D/organoid/spheroid terminology
oviductal organoids,advanced_cellular_models,PMID:32461556,10.1038/s41467-020-16432-0,Assessing the origin of high-grade serous ovarian cancer using CRISPR-modification of mouse organoids.,,0.95,Development,False,1.00,Medium,,,,,,,,,,,,,,,,,,,organoid,primary cell,oviductal epithelial cells,oviductal organoid,,,,,,,,,,establish organoid-based tumor progression models of HG-SOC from murine oviductal and OSE tissues,Publication title lacks NF-specific terms: Assessing the origin of high-grade serous ovarian cancer using CRISPR-modificati
OSE organoids,advanced_cellular_models,PMID:32461556,10.1038/s41467-020-16432-0,Assessing the origin of high-grade serous ovarian cancer using CRISPR-modification of mouse organoids.,,0.95,Development,False,1.00,Medium,,,,,,,,,,,,,,,,,,,organoid,primary cell,ovarian surface epithelium,OSE organoid,,,,,,,,,,establish organoid-based tumor progression models of HG-SOC from murine oviductal and OSE tissues,Publication title lacks NF-specific terms: Assessing the origin of high-grade serous ovarian cancer using CRISPR-modificati
neurofibromaspheres,advanced_cellular_models,PMID:41022755,10.1038/s41467-025-63619-4,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,spheroid,iPSC,"Schwann cells, fibroblasts",,,,,,,,,,,neurofibromaspheres were obtained by 3D culture of differentiating pNF iPSC-derived Schwann cells (SC) with pNF patient-derived NF1 fibroblasts,Publication title lacks 3D/organoid/spheroid terminology
S462 spheres,advanced_cellular_models,PMID:23328114,10.18632/oncotarget.793,Genomic imbalance of HMMR/RHAMM regulates the sensitivity and response of malignant peripheral nerve sheath tumour cells to aurora kinase inhibition.,,0.85,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,spheroid,cell line,MPNST cells,,,,,,,,,,,The culture of S462 spheres followed the protocol in [22],Publication title lacks 3D/organoid/spheroid terminology
optic glioma neurospheres,advanced_cellular_models,PMID:25772366,10.1016/j.celrep.2015.02.041,Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties.,,0.8,Experimental Usage,True,1.00,Medium,,,,,,,,,,,,,,,,,,,spheroid,primary cell,Neural stem cells,neurosphere,,,,,,,,,,"Optic chiasm was microdissected from 3-month-old Nf1 flox/flox, Nf1 +/− and Nf1 +/− GFAP CKO mice to generate primary optic nerve neurospheres",Publication title lacks NF-specific terms: Mouse low-grade gliomas contain cancer stem cells with unique molecular and func
hiMGL cells,advanced_cellular_models,PMID:37990867,10.1242/dmm.049861,Neurofibromin 1 mutations impair the function of human induced pluripotent stem cell-derived microglia.,,0.95,Development,False,1.00,Medium,,,,,,,,,,,,,,,,,,,other,iPSC,Microglia-like cells,,,,,,,,,,,"hiMGL cells were generated from hiPSCs as previously described (McQuade et al., 2018) with minor modifications",Publication title lacks NF-specific terms: Neurofibromin 1 mutations impair the function of human induced pluripotent stem 
3D tumor spheroid model,advanced_cellular_models,PMID:40025578,10.1186/s40478-025-01965-6,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,spheroid,cell line,"sNF96.2-luciferase cells, primary tumor cells",,,,,,,,,,,Their anti-tumor efficacy was further evaluated using a 3D tumor spheroid model,Publication title lacks 3D/organoid/spheroid terminology
neurosphere cultures,advanced_cellular_models,PMID:18451155,10.1158/0008-5472.CAN-07-6867,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,spheroid,primary cell,neural stem/progenitor cells,,,,,,,,,,,"We established and maintained neurosphere cultures as described (31) with some modifications. Briefly, we dissected out the lateral walls of the lateral ventricle or whole brain tumor",Publication title lacks NF-specific terms: Pten haploinsufficiency accelerates formation of high-grade astrocytomas.
