pmid,doi,title,journal,year,query_type,source,is_research,screening_reasoning
10215625,10.1101/gad.13.8.978,Schwann cell hyperplasia and tumors in transgenic mice expressing a naturally occurring mutant NF2 protein.,Genes Dev,1999,reconstructed,pubmed,True,Transgenic mouse model
10339466,,Myeloid malignancies induced by alkylating agents in Nf1 mice.,Blood,1999,reconstructed,pubmed,True,Animal model of myeloid malignancies
10383727,10.1046/j.1523-1747.1999.00609.x,"The Nf1 tumor suppressor regulates mouse skin wound healing, fibroblast proliferation, and collagen deposited by fibroblasts.",J Invest Dermatol,1999,reconstructed,pubmed,True,Mouse model of wound healing
10433955,10.1016/S0002-9440(10)65158-9,Molecular genetic analysis of ependymal tumors. NF2 mutations and chromosome 22q loss occur preferentially in intramedullary spinal ependymomas.,Am J Pathol,1999,reconstructed,pubmed,True,Molecular genetic analysis method
10567424,10.1074/jbc.274.48.34438,Interdomain interaction of merlin isoforms and its influence on intermolecular binding to NHE-RF.,J Biol Chem,1999,reconstructed,pubmed,True,Protein interaction analysis
10591653,10.1126/science.286.5447.2176,Mouse tumor model for neurofibromatosis type 1.,Science,1999,reconstructed,pubmed,True,Mouse tumor model
10595915,10.1016/S0002-9440(10)65504-6,Deletions of the INK4A gene occur in malignant peripheral nerve sheath tumors but not in neurofibromas.,Am J Pathol,1999,reconstructed,pubmed,True,Genetic mutation analysis
10595919,10.1016/S0002-9440(10)65508-3,Expression of p27(kip) and other cell cycle regulators in malignant peripheral nerve sheath tumors and neurofibromas: the emerging role of p27(kip) in malignant transformation of neurofibromas.,Am J Pathol,1999,reconstructed,pubmed,True,Cell cycle regulation study
10620616,10.1084/jem.191.1.181,Genetic and biochemical evidence that haploinsufficiency of the Nf1 tumor suppressor gene modulates melanocyte and mast cell fates in vivo.,J Exp Med,2000,reconstructed,pubmed,True,Genetic and biochemical animal model
10627474,,Inhibition of juvenile myelomonocytic leukemia cell growth in vitro by farnesyltransferase inhibitors.,Blood,2000,reconstructed,pubmed,True,In vitro cell growth inhibition
10633134,10.1136/jmg.37.1.44,A search for evidence of somatic mutations in the NF1 gene.,J Med Genet,2000,reconstructed,pubmed,True,Somatic mutation screening
10669747,10.1128/MCB.20.5.1699-1712.2000,"Cloning and characterization of SCHIP-1, a novel protein interacting specifically with spliced isoforms and naturally occurring mutant NF2 proteins.",Mol Cell Biol,2000,reconstructed,pubmed,True,Protein cloning and characterization
10678181,10.1016/s1097-2765(00)80415-3,Nf1 and Gmcsf interact in myeloid leukemogenesis.,Mol Cell,2000,reconstructed,pubmed,True,Genetic interaction study
10684924,10.1093/nar/28.6.1307,Cold shock induces the insertion of a cryptic exon in the neurofibromatosis type 1 (NF1) mRNA.,Nucleic Acids Res,2000,reconstructed,pubmed,True,mRNA mutation analysis
10705390,10.5858/2000-124-0382-AUMFMA,A unique method for mutation analysis of tumor suppressor genes in colorectal carcinomas using a crypt isolation technique.,Arch Pathol Lab Med,2000,reconstructed,pubmed,True,Mutation analysis technique
10712197,10.1086/302809,Minor lesion mutational spectrum of the entire NF1 gene does not explain its high mutability but points to a functional domain upstream of the GAP-related domain.,Am J Hum Genet,2000,reconstructed,pubmed,True,Genetic mutation spectrum analysis
