pmid,title,doi,journal,year,query_type,source,is_research,screening_reasoning,abstract,has_nf_tools,abstract_screening_reasoning
PMID:10591653,Mouse tumor model for neurofibromatosis type 1.,10.1126/science.286.5447.2176,"Science (New York, N.Y.)",1999.0,bench,pubmed,True,Mouse tumor model,"Neurofibromatosis type 1 (NF1) is an autosomal dominant disorder characterized by increased incidence of benign and malignant tumors of neural crest origin. Mutations that activate the protooncogene ras, such as loss of Nf1, cooperate with inactivating mutations at the p53 tumor suppressor gene during malignant transformation. One hundred percent of mice harboring null Nf1 and p53 alleles in cis synergize to develop soft tissue sarcomas between 3 and 7 months of age. These sarcomas exhibit loss of heterozygosity at both gene loci and express phenotypic traits characteristic of neural crest derivatives and human NF1 malignancies.",True,Mouse tumor model development
PMID:10705390,A unique method for mutation analysis of tumor suppressor genes in colorectal carcinomas using a crypt isolation technique.,10.5858/2000-124-0382-AUMFMA,Archives of pathology & laboratory medicine,2000.0,bench,pubmed,True,Mutation analysis method,"BACKGROUND: Contamination of nontumor tissue makes genetic analysis difficult. For this reason, it is important to obtain pure tumor tissue to ensure accurate genetic analysis. OBJECTIVE: To accurately assess the incidence of mutation of tumor suppressor genes (p53: exon 5-8; APC: mutated cluster region; NF-2 gene: all exons) in 45 colorectal carcinomas. METHODS: We developed an application of the polymerase chain reaction-single-strand conformation polymorphism and DNA sequence by coupling them with crypt isolation. RESULTS: Mutations of p53 and APC genes were found in 24 and 22 of 45 colorectal carcinomas, respectively. No mutation of the NF-2 gene was observed in this cancer. Single-strand conformation polymorphism using a crypt isolation technique showed a clear migrating band and no false-positive data. CONCLUSIONS: The crypt isolation technique is a useful method for accurately analyzing genetic alterations. Furthermore, our proposed method confirmed the morphological findings obtained before the genetic analysis.",True,Novel mutation analysis technique (crypt isolation)
PMID:10887156,Conditional biallelic Nf2 mutation in the mouse promotes manifestations of human neurofibromatosis type 2.,,Genes & development,2000.0,bench,pubmed,True,Conditional animal model,"Hemizygosity for the NF2 gene in humans causes a syndromic susceptibility to schwannoma development. However, Nf2 hemizygous mice do not develop schwannomas but mainly osteosarcomas. In the tumors of both species, the second Nf2 allele is inactivated. We report that conditional homozygous Nf2 knockout mice with Cre-mediated excision of Nf2 exon 2 in Schwann cells showed characteristics of neurofibromatosis type 2. These included schwannomas, Schwann cell hyperplasia, cataract, and osseous metaplasia. Thus, the tumor suppressor function of Nf2, here revealed in murine Schwann cells, was concealed in hemizygous Nf2 mice because of insufficient rate of second allele inactivation in this cell compartment. The finding of this conserved function documents the relevance of the present approach to model the human disease.",True,Conditional mouse model development
PMID:11080503,Neurofibromin GTPase-activating protein-related domains restore normal growth in Nf1-/- cells.,10.1074/jbc.M009202200,The Journal of biological chemistry,2001.0,bench,pubmed,True,Cellular restoration method,"Members of the Ras superfamily of signaling proteins modulate fundamental cellular processes by cycling between an active GTP-bound conformation and an inactive GDP-bound form. Neurofibromin, the protein product of the NF1 tumor suppressor gene, and p120GAP are GTPase-activating proteins (GAPs) for p21(Ras) (Ras) and negatively regulate output by accelerating GTP hydrolysis on Ras. Neurofibromin and p120GAP differ markedly outside of their conserved GAP-related domains (GRDs), and it is therefore unknown if the respective GRDs contribute functional specificity. To address this question, we expressed the GRDs of neurofibromin and p120GAP in primary cells from Nf1 mutant mice in vitro and in vivo. Here we show that expression of neurofibromin GRD, but not the p120GAP GRD, restores normal growth and cytokine signaling in three lineages of primary Nf1-deficient cells that have been implicated in the pathogenesis of neurofibromatosis type 1 (NF1). Furthermore, utilizing a GAP-inactive mutant NF1 GRD identified in a family with NF1, we demonstrate that growth restoration is a function of NF1 GRD GAP activity on p21(Ras). Thus, the GRDs of neurofibromin and p120GAP specify nonoverlapping functions in multiple primary cell types.",True,Neurofibromin domain restoration research tool
PMID:11404331,A systematic screen for dominant second-site modifiers of Merlin/NF2 phenotypes reveals an interaction with blistered/DSRF and scribbler.,10.1093/genetics/158.2.667,Genetics,2001.0,bench,pubmed,True,Genetic modifier screening,"Merlin, the Drosophila homologue of the human tumor suppressor gene Neurofibromatosis 2 (NF2), is required for the regulation of cell proliferation and differentiation. To better understand the cellular functions of the NF2 gene product, Merlin, recent work has concentrated on identifying proteins with which it interacts either physically or functionally. In this article, we describe genetic screens designed to isolate second-site modifiers of Merlin phenotypes from which we have identified five multiallelic complementation groups that modify both loss-of-function and dominant-negative Merlin phenotypes. Three of these groups, Group IIa/scribbler (also known as brakeless), Group IIc/blistered, and Group IId/net, are known genes, while two appear to be novel. In addition, two genes, Group IIa/scribbler and Group IIc/blistered, alter Merlin subcellular localization in epithelial and neuronal tissues, suggesting that they regulate Merlin trafficking or function. Furthermore, we show that mutations in scribbler and blistered display second-site noncomplementation with one another. These results suggest that Merlin, blistered, and scribbler function together in a common pathway to regulate Drosophila wing epithelial development.",True,Systematic genetic screen for modifiers
PMID:11433044,Quantification of splice variants using real-time PCR.,10.1093/nar/29.13.e68,Nucleic acids research,2001.0,bench,pubmed,True,Molecular biology technique,"A reliable and robust method for measuring the expression of alternatively spliced transcripts is an important step in investigating the significance of each variant. So far, accurate quantification of splice variants has been laborious and difficult due to the intrinsic limitations of conventional methods. The many advantages of real-time PCR have made this technique attractive to study its application in quantification of splice isoforms. We use skipping of exon 37 in the NF1 gene as a model to compare and evaluate the different strategies for quantitating splice variants using real-time PCR. An overview of three different possibilities for detecting alternative transcripts is given. We propose the use of a boundary-spanning primer to quantify isoforms that differ greatly in abundance. We describe here a novel method for creating a reliable standard curve using one plasmid containing both alternative transcripts. In addition, we validate the use of an absolute standard curve based on a dilution series of fluorometrically quantified PCR products.",True,Real-time PCR splice variant quantification method
PMID:11756419,Structural basis for neurofibromatosis type 2. Crystal structure of the merlin FERM domain.,10.1074/jbc.M109979200,The Journal of biological chemistry,2002.0,bench,pubmed,True,Protein structural analysis,"Neurofibromatosis type 2 (NF2) is a dominantly inherited disease associated with the central nervous system. The NF2 gene product merlin is a tumor suppressor, and its mutation or inactivation causes this disease. We report here the crystal structure of the merlin FERM domain containing a 22-residue alpha-helical segment. The structure reveals that the merlin FERM domain consists of three subdomains displaying notable features of the electrostatic surface potentials, although the overall surface potentials similar to those of ezrin/radixin/moesin (ERM) proteins indicate electrostatic membrane association. The structure also is consistent with inactivation mechanisms caused by the pathogenic mutations associated with NF2.",True,Crystal structure of merlin FERM domain
PMID:12057013,Complex splicing pattern generates great diversity in human NF1 transcripts.,10.1186/1471-2164-3-13,BMC genomics,2002.0,bench,pubmed,True,Molecular biology technique,"BACKGROUND: Mutation analysis of the neurofibromatosis type 1 (NF1) gene has shown that about 30% of NF1 patients carry a splice mutation resulting in the production of one or several shortened transcripts. Some of these transcripts were also found in fresh lymphocytes of healthy individuals, albeit typically at a very low level. Starting from this initial observation, we were interested to gain further insight into the complex nature of NF1 mRNA processing. RESULTS: We have used a RT-PCR plasmid library based method to identify novel NF1 splice variants. Several transcripts were observed with specific insertions/deletions and a survey was made. This large group of variants detected in one single gene allows to perform a comparative analysis of the factors involved in splice regulation. Exons that are prone to skipping were systematically analysed for 5' and 3' splice site strength, branch point strength and secondary structure. CONCLUSION: Our study revealed a complex splicing pattern, generating a great diversity in NF1 transcripts. We found that, on average, exons that are spliced out in part of the mRNA have significantly weaker acceptor sites. Some variants identified in this study could have distinct roles and might expand our knowledge of neurofibromin.",True,Complex splicing pattern analysis method
PMID:12082543,Mouse models of neurofibromatosis 1 and 2.,10.1038/sj.neo.7900249,"Neoplasia (New York, N.Y.)",2002.0,bench,pubmed,True,Animal model development,"The neurofibromatoses represent two of the most common inherited tumor predisposition syndromes affecting the nervous system. Individuals with neurofibromatosis 1 (NF1) are prone to the development of astrocytomas and peripheral nerve sheath tumors whereas those affected with neurofibromatosis 2 (NF2) develop schwannomas and meningiomas. The development of traditional homozygous knockout mice has provided insights into the roles of the NF1 and NF2 genes during development and in differentiation, but has been less instructive regarding the contribution of NF1 and NF2 dysfunction to the pathogenesis of specific benign and malignant tumors. Recent progress employing novel mouse targeting strategies has begun to illuminate the roles of the NF1 and NF2 gene products in the molecular pathogenesis of NF-associated tumors.",True,Mouse model review
PMID:12095621,Quantification of NF1 transcripts reveals novel highly expressed splice variants.,10.1016/s0014-5793(02)02887-9,FEBS letters,2002.0,bench,pubmed,True,Molecular biology technique,"Previously, we have shown that the NF1 gene gives rise to multiple novel splice variants. In the present study, nine NF1 variants were quantified by real-time PCR in various human tissues. Some of these variants were expressed at low to moderate low levels and possible implications of these findings are discussed. Interestingly, two variants (NF1-DeltaE4b and NF1-DeltaE43) were shown to be highly expressed in specific tissues. NF1-DeltaE43 lacks a nuclear targeting sequence and might be functionally different from full-length NF1. These novel NF1 splice variants might expand our understanding of the role of neurofibromin.",True,NF1 transcript quantification method
