pmid,title,is_research,screening_reasoning
10215625,Schwann cell hyperplasia and tumors in transgenic mice expressing a naturally occurring mutant NF2 protein.,True,Transgenic mouse model
10339466,Myeloid malignancies induced by alkylating agents in Nf1 mice.,True,Animal model of myeloid malignancies
10383727,"The Nf1 tumor suppressor regulates mouse skin wound healing, fibroblast proliferation, and collagen deposited by fibroblasts.",True,Mouse model of wound healing
10433955,Molecular genetic analysis of ependymal tumors. NF2 mutations and chromosome 22q loss occur preferentially in intramedullary spinal ependymomas.,True,Molecular genetic analysis method
10567424,Interdomain interaction of merlin isoforms and its influence on intermolecular binding to NHE-RF.,True,Protein interaction analysis
10591653,Mouse tumor model for neurofibromatosis type 1.,True,Mouse tumor model
10595915,Deletions of the INK4A gene occur in malignant peripheral nerve sheath tumors but not in neurofibromas.,True,Genetic mutation analysis
10595919,Expression of p27(kip) and other cell cycle regulators in malignant peripheral nerve sheath tumors and neurofibromas: the emerging role of p27(kip) in malignant transformation of neurofibromas.,True,Cell cycle regulation study
10620616,Genetic and biochemical evidence that haploinsufficiency of the Nf1 tumor suppressor gene modulates melanocyte and mast cell fates in vivo.,True,Genetic and biochemical animal model
10627474,Inhibition of juvenile myelomonocytic leukemia cell growth in vitro by farnesyltransferase inhibitors.,True,In vitro cell growth inhibition
10633134,A search for evidence of somatic mutations in the NF1 gene.,True,Somatic mutation screening
10669747,"Cloning and characterization of SCHIP-1, a novel protein interacting specifically with spliced isoforms and naturally occurring mutant NF2 proteins.",True,Protein cloning and characterization
10678181,Nf1 and Gmcsf interact in myeloid leukemogenesis.,True,Genetic interaction study
10684924,Cold shock induces the insertion of a cryptic exon in the neurofibromatosis type 1 (NF1) mRNA.,True,mRNA mutation analysis
10705390,A unique method for mutation analysis of tumor suppressor genes in colorectal carcinomas using a crypt isolation technique.,True,Mutation analysis technique
10712197,Minor lesion mutational spectrum of the entire NF1 gene does not explain its high mutability but points to a functional domain upstream of the GAP-related domain.,True,Genetic mutation spectrum analysis
10712203,Functional analysis of the neurofibromatosis type 2 protein by means of disease-causing point mutations.,True,Protein functional analysis
10844550,The neurofibromatosis type 1 (Nf1) tumor suppressor is a modifier of carcinogen-induced pigmentation and papilloma formation in C57BL/6 mice.,True,Animal model of carcinogen response
10887156,Conditional biallelic Nf2 mutation in the mouse promotes manifestations of human neurofibromatosis type 2.,True,Conditional mouse model
10900196,Single cell Ras-GTP analysis reveals altered Ras activity in a subpopulation of neurofibroma Schwann cells but not fibroblasts.,True,Single cell Ras activity analysis
11080503,Neurofibromin GTPase-activating protein-related domains restore normal growth in Nf1-/- cells.,True,Cellular growth restoration method
11106646,Hierarchy of merlin and ezrin N- and C-terminal domain interactions in homo- and heterotypic associations and their relationship to binding of scaffolding proteins EBP50 and E3KARP.,True,Protein interaction analysis
