pmid,title,verdict,reasoning
PMID:10053020,The duty to recontact: attitudes of genetics service providers.,EXCLUDE,Ethical review article
PMID:10339466,Myeloid malignancies induced by alkylating agents in Nf1 mice.,INCLUDE,Animal model of NF1
PMID:10383727,"The Nf1 tumor suppressor regulates mouse skin wound healing, fibroblast proliferation, and collagen deposited by fibroblasts.",INCLUDE,Animal model of wound healing
PMID:10433955,Molecular genetic analysis of ependymal tumors. NF2 mutations and chromosome 22q loss occur preferentially in intramedullary spinal ependymomas.,INCLUDE,Genetic analysis of tumors
PMID:10469340,Aberrant cutaneous expression of the angiogenic factor midkine is associated with neurofibromatosis type-1.,EXCLUDE,Descriptive molecular study
PMID:10517503,Clonal origin of recurrent meningiomas.,EXCLUDE,Clonal origin description
PMID:10547131,"Physicians' decision-making in incompetent elderly patients: a comparative study between Austria, Germany (East, West), and Sweden.",EXCLUDE,Physician decision-making review
PMID:10567424,Interdomain interaction of merlin isoforms and its influence on intermolecular binding to NHE-RF.,INCLUDE,Protein interaction study
PMID:10572231,"[HNPCC syndrome, microsatellite instability and NF1 gene alteration].",EXCLUDE,Genetic syndrome description
PMID:10591653,Mouse tumor model for neurofibromatosis type 1.,INCLUDE,Mouse tumor model
PMID:10595915,Deletions of the INK4A gene occur in malignant peripheral nerve sheath tumors but not in neurofibromas.,INCLUDE,Genetic analysis of tumors
PMID:10595919,Expression of p27(kip) and other cell cycle regulators in malignant peripheral nerve sheath tumors and neurofibromas: the emerging role of p27(kip) in malignant transformation of neurofibromas.,INCLUDE,Cell cycle regulation study
PMID:10620616,Genetic and biochemical evidence that haploinsufficiency of the Nf1 tumor suppressor gene modulates melanocyte and mast cell fates in vivo.,INCLUDE,Genetic animal model
PMID:10625896,Midline and far lateral approaches to foramen magnum lesions.,EXCLUDE,Surgical approach description
PMID:10627474,Inhibition of juvenile myelomonocytic leukemia cell growth in vitro by farnesyltransferase inhibitors.,INCLUDE,Drug screening method
PMID:10633134,A search for evidence of somatic mutations in the NF1 gene.,INCLUDE,Mutation screening technique
PMID:10669747,"Cloning and characterization of SCHIP-1, a novel protein interacting specifically with spliced isoforms and naturally occurring mutant NF2 proteins.",INCLUDE,Protein interaction study
PMID:10678181,Nf1 and Gmcsf interact in myeloid leukemogenesis.,INCLUDE,Genetic interaction study
PMID:10684924,Cold shock induces the insertion of a cryptic exon in the neurofibromatosis type 1 (NF1) mRNA.,INCLUDE,Molecular biology technique
PMID:10705390,A unique method for mutation analysis of tumor suppressor genes in colorectal carcinomas using a crypt isolation technique.,INCLUDE,Mutation analysis method
PMID:10712197,Minor lesion mutational spectrum of the entire NF1 gene does not explain its high mutability but points to a functional domain upstream of the GAP-related domain.,INCLUDE,Genetic mutation analysis
PMID:10712203,Functional analysis of the neurofibromatosis type 2 protein by means of disease-causing point mutations.,INCLUDE,Protein functional analysis
PMID:10844550,The neurofibromatosis type 1 (Nf1) tumor suppressor is a modifier of carcinogen-induced pigmentation and papilloma formation in C57BL/6 mice.,INCLUDE,Animal model of carcinogenesis
PMID:1086153,Tumours of the adrenal gland and paraganglia.,EXCLUDE,Tumor description
PMID:10887156,Conditional biallelic Nf2 mutation in the mouse promotes manifestations of human neurofibromatosis type 2.,INCLUDE,Conditional animal model
