pmid,doi,resourceName,resourceType,observationType,details,foundIn,confidence
PMID:10705390,10.5858/2000-124-0382-AUMFMA,p53 antibody clone DO-7,Antibody,Usage Instructions,"The p53 antibody clone DO-7 from DAKO was used successfully for immunohistochemistry 
following the NordicQC method. The antibody showed reliable performance in detecting 
p53 protein expression patterns across different mutation types. Inter-rater variability 
for assessment of p53 expression by independent observers showed very good agreement.
",results,0.9
PMID:10705390,10.5858/2000-124-0382-AUMFMA,p53 antibody clone DO-7,Antibody,General Comment or Review,"The DO7 antibody used in this study detects p53 expression in normal cells, including 
stromal fibroblasts and lymphocytes, when used with recently improved polymer-based 
IHC detection systems. This is important for distinguishing wild-type from null-type 
p53 expression patterns.
",discussion,0.85
PMID:10705390,10.5858/2000-124-0382-AUMFMA,MiSeq Reporter software,Computational Tool,Usage Instructions,"MiSeq Reporter software (Illumina) was successfully used for demultiplexing, sequence 
alignment, and variant calling. The software generated FASTQ files for each sample pool 
and a single genomic variant call file (VCF) from successful sequencing runs.
",results,0.9
PMID:10705390,10.5858/2000-124-0382-AUMFMA,Illumina Variant Studio version 2.2,Computational Tool,Usage Instructions,"Illumina Variant Studio version 2.2 software was used for annotation of detected variants. 
Variants with variant allele frequency <10% were filtered and excluded before review. 
Detected variants were marked with a PASS filter flag based on specific quality criteria 
including presence in each pool, cumulative depth of 1000× per pool, and average depth of 500× per pool.
",methods,0.9
PMID:10705390,10.5858/2000-124-0382-AUMFMA,JMP Pro 16.1,Computational Tool,Usage Instructions,"JMP Pro 16.1 (SAS Institute) was used for statistical analysis including calculation of 
diagnostic test performance metrics. The software was used to quantify Cohen's kappa for 
agreement and calculate sensitivity and specificity accuracy of p53 IHC compared to TP53 
mutation status.
",methods,0.9
PMID:10705390,10.5858/2000-124-0382-AUMFMA,R version 4.3.1,Computational Tool,Usage Instructions,"R version 4.3.1 was used with specific packages for statistical power analysis and sample 
size determination. The statistical power was set to 0.8 using the 'Cantor method' with 
the irr package, and sample size calculations were performed using the sample size package 
to determine that minimally 86 cases were required.
",methods,0.9
PMID:15206577,10.2131/jts.29.91,Sprague-Dawley rats,Animal Model,Body Weight,"All PQ-treated groups (PQ, PQ + TH, and PQ + QH) showed significantly lower body weight gain 
compared to vehicle control groups (N and TH) (p = 0.003 at week 1 and p < 0.001 at weeks 2, 3, and 4 
when compared to week 0). The significantly smaller gains in body weight were observed as early as 
one week following the first PQ administration.
",results,1.0
PMID:15206577,10.2131/jts.29.91,Sprague-Dawley rats,Animal Model,Nervous System,"Immunohistochemical assessment of the SNpc showed a significant reduction in the number of 
TyrH-positive neurons in group PQ compared to control (p = 0.007), indicating damage to 
dopaminergic neurons. Treatment with ubiquinol significantly increased the number of 
TyrH-positive neurons (p = 0.039). Tualang honey treatment also increased TyrH-positive 
neurons but did not reach statistical significance (p = 0.059).
",results,1.0
PMID:15206577,10.2131/jts.29.91,Sprague-Dawley rats,Animal Model,Molecular,"PQ-intoxicated rats showed significantly lower total SOD activity in lungs than control 
(p < 0.005) and honey (p < 0.05) groups. GST activity was significantly lower in PQ-treated 
rats than in control group (p < 0.005). Midbrain GPx activity was significantly lower in 
groups PQ and PQ + QH (p < 0.05). Treatment with Tualang honey or ubiquinol restored SOD 
activity to levels comparable to vehicle control.
",results,1.0
PMID:15206577,10.2131/jts.29.91,TyrH antibody,Antibody,Usage Instructions,"TyrH antibody (AB152, Millipore) was used at 1:10,000 dilution for overnight incubation at 4°C 
in immunohistochemical staining. The antibody successfully detected tyrosine hydroxylase-positive 
dopaminergic neurons in the substantia nigra pars compacta (SNpc) region. Tissue sections from 
striatum served as positive control and liver as negative control.
",methods,1.0
