patternType,pattern,toolType,examples,reasoning,pmid
naming_convention,null [A-Z][a-z0-9]+ (allele|mice|mouse),animal_model,"['null Nf1 and p53 alleles', 'mice harboring null Nf1']","This pattern would capture references to knockout/null alleles in mice, which are common animal model descriptions that may be missed by current patterns.",PMID:10591653
context_phrase,mice harboring (null|knockout|mutant) [A-Z][a-z0-9]+,animal_model,['mice harboring null Nf1 and p53 alleles'],The phrase 'mice harboring' followed by genetic modifications is a strong indicator of animal model usage and should be captured.,PMID:10591653
naming_convention,[A-Z][a-z0-9]+/[A-Z][a-z0-9]+ (double |compound )?(knockout|null|mutant),animal_model,['Nf1/p53 double knockout'],Compound genotype nomenclature (gene1/gene2) is commonly used to describe animal models with multiple genetic modifications.,PMID:10591653
context_phrase,(develop|exhibit|synergize to develop) .+ (sarcomas|tumors|malignancies),animal_model,['synergize to develop soft tissue sarcomas'],Phenotypic descriptions of tumor development in animal models provide strong context for identifying mouse model tools.,PMID:10591653
term,antibody clone [A-Z0-9-]+,antibody,['p53 antibody clone DO-7'],Pattern to catch specific antibody clones with alphanumeric identifiers,PMID:10705390
vendor_indicator,\b[A-Z][a-zA-Z]+ autostainer\b,computational_tool,['DAKO autostainer Link48'],Automated laboratory equipment often follows this naming pattern,PMID:10705390
context_phrase,using .+ software \([^)]+\),computational_tool,['using Illumina Variant Studio version 2.2 software (Illumina)'],Common phrase structure for software tools with vendor information,PMID:10705390
term,\b[A-Z]+ Pro [0-9]+\.[0-9]+\b,computational_tool,['JMP Pro 16.1'],Professional software versions often follow this naming convention,PMID:10705390
term,\bR \(version [0-9]+\.[0-9]+\.[0-9]+\),computational_tool,['R (version 4.3.1)'],Specific pattern for R programming language version mentions,PMID:10705390
term,\b[a-z]+ package\b,computational_tool,"['irr package', 'sample size package']",R/Python packages often mentioned as 'package name + package',PMID:10705390
context_phrase,custom panel \([^)]+\) containing [0-9]+ amplicons,genetic_reagent,"['custom panel (Illumina, San Diego, CA, USA) containing 753 amplicons']",Specific pattern for sequencing panels with amplicon specifications,PMID:10705390
naming_convention,conditional\s+\w+\s+knockout\s+mice,animal_model,['conditional homozygous Nf2 knockout mice'],Captures conditional knockout mouse models which are sophisticated genetic tools,PMID:10887156
context_phrase,Cre-mediated\s+\w+,genetic_reagent,['Cre-mediated excision'],"Identifies Cre recombinase system usage, a key genetic tool",PMID:10887156
